Description,Manufacturer,Part Number,BRSID
IQ System Controller 3,Enphase,IQBATTERY-5P-1P-NA,BATTERY-SYSTEM-CONTROLLER-Enphase-IQBATTERY-5P-1P-NA
aGate,FranklinWH,APR-05K13V1-US,BATTERY-SYSTEM-CONTROLLER-FranklinWH-APR-05K13V1-US
Backup Gateway 2,Tesla,1707000-xx-y,BATTERY-SYSTEM-CONTROLLER-Tesla-1707000-xx-y
Gateway 3,Tesla,1841000-x1-y,BATTERY-SYSTEM-CONTROLLER-Tesla-1841000-x1-y
