Description,Manufacturer,Part Number,Hardware Type,Hardware Size,BRSID
"Copper State Self-Drilling Screw, #12 x 2-1/2",Copper State,13SDHTZ-0220250,Self-Drilling Screw,#12 x 2-1/2,HARDWARE-Copper-State-13SDHTZ-0220250
"Copper State Structural Screw, 5/16 x 3-1/8 in",Copper State,37GK-10231,Structural Screw,5/16 x 3-1/8 in,HARDWARE-Copper-State-37GK-10231
"Cully Machine Screw, 8-32, 310 Piece Kit",Cully,39526,Machine Screw,"8-32, 310 Piece Kit",HARDWARE-Cully-39526
"Cully Winged Anchor, #8 to #12, 201 Pieces",Cully,39751,Winged Anchor,"#8 to #12, 201 Pieces",HARDWARE-Cully-39751
"Cully Conical Anchor, #10 x 1 in, Slot Head, Jar",Cully,39821,Conical Anchor,"#10 x 1 in, Slot Head, Jar",HARDWARE-Cully-39821
"Cully Winged Anchor, #8 Kit",Cully,39921,Winged Anchor,#8 Kit,HARDWARE-Cully-39921
"Cully Concrete Screw, 1/4 x 2-3/4 in",Cully,60344,Concrete Screw,1/4 x 2-3/4 in,HARDWARE-Cully-60344
"Cully Sheet Metal Screw, #10-16 x 3 in",Cully,79048,Sheet Metal Screw,#10-16 x 3 in,HARDWARE-Cully-79048
"Cully Nail Plate, 1-1/2 x 3 in",Cully,90100,Nail Plate,1-1/2 x 3 in,HARDWARE-Cully-90100
"Cully Self-Drilling Screw, #7 x 7/16 in",Cully,10708J,Self-Drilling Screw,#7 x 7/16 in,HARDWARE-Cully-10708J
"Cully Sheet Metal Screw, #10 x 1 in",Cully,11016J,Sheet Metal Screw,#10 x 1 in,HARDWARE-Cully-11016J
"Cully Sheet Metal Screw, #10 x 1-1/4 in",Cully,11020J,Sheet Metal Screw,#10 x 1-1/4 in,HARDWARE-Cully-11020J
"Cully Sheet Metal Screw, #10 x 1-1/2 in",Cully,11024J,Sheet Metal Screw,#10 x 1-1/2 in,HARDWARE-Cully-11024J
"Cully Sheet Metal Screw, #10 x 2 in",Cully,11032J,Sheet Metal Screw,#10 x 2 in,HARDWARE-Cully-11032J
"Cully Sheet Metal Screw, #10 x 3 in",Cully,11048J,Sheet Metal Screw,#10 x 3 in,HARDWARE-Cully-11048J
"Cully Sheet Metal Screw, #8 x 1/2 in",Cully,14809J,Sheet Metal Screw,#8 x 1/2 in,HARDWARE-Cully-14809J
"Cully Sheet Metal Screw, #8 x 9/16 in",Cully,14811J500,Sheet Metal Screw,#8 x 9/16 in,HARDWARE-Cully-14811J500
