Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Square D 225A Convertible Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM3060L225PGC,225,Convertible,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060L225PGC
"Square D 225A Convertible Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM3060L225PGC,225,Convertible,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060L225PGC
"Square D 225A Convertible Loadcenter, 30 Space, 60 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM3060L225PRB,225,Convertible,30,60,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060L225PRB
"Square D 100A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM3060M100PC,100,Main Breaker,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060M100PC
"Square D 150A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM3060M150PC,150,Main Breaker,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060M150PC
"Square D 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM3060M200PC,200,Main Breaker,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060M200PC
"Square D 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM3060M200PQCVP,200,Main Breaker,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060M200PQCVP
"Square D 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM3060M200PRB,200,Main Breaker,30,60,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM3060M200PRB
"Square D 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Value Pack",Square D,HOM3060M200PRBVP,200,Main Breaker,30,60,Outdoor,Surface,"Plug-On Neutral, Value Pack",LOAD-CENTER-Square-D-HOM3060M200PRBVP
"Square D 225A Convertible Loadcenter, 40 Space, 80 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Square D,HOM4080L225PGC,225,Convertible,40,80,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-HOM4080L225PGC
"Square D 225A Convertible Loadcenter, 40 Space, 80 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM4080L225PRB,225,Convertible,40,80,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM4080L225PRB
"Square D 200A Main Breaker Loadcenter, 40 Space, 80 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM4080M200PC,200,Main Breaker,40,80,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM4080M200PC
"Square D 125A Main Lug Only Loadcenter, 4 Space, 8 Circuit, Indoor, Flush Mount, Ground Bar",Square D,HOM48L125GC,125,Main Lug Only,4,8,Indoor,Flush,Ground Bar,LOAD-CENTER-Square-D-HOM48L125GC
"Square D 125A Main Lug Only Loadcenter, 4 Space, 8 Circuit, Outdoor, Surface Mount, Ground Bar",Square D,HOM48L125GRB,125,Main Lug Only,4,8,Outdoor,Surface,Ground Bar,LOAD-CENTER-Square-D-HOM48L125GRB
"Square D 100A Main Lug Only Loadcenter, 6 Space, 12 Circuit, Indoor, Flush Mount",Square D,HOM612L100F,100,Main Lug Only,6,12,Indoor,Flush,,LOAD-CENTER-Square-D-HOM612L100F
"Square D 100A Main Lug Only Loadcenter, 6 Space, 12 Circuit, Outdoor, Surface Mount",Square D,HOM612L100RB,100,Main Lug Only,6,12,Outdoor,Surface,,LOAD-CENTER-Square-D-HOM612L100RB
"Square D 100A Main Lug Only Loadcenter, 6 Space, 12 Circuit, Indoor, Surface Mount",Square D,HOM612L100S,100,Main Lug Only,6,12,Indoor,Surface,,LOAD-CENTER-Square-D-HOM612L100S
"Square D 125A Convertible Loadcenter, 8 Space, 16 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM816L125PC,125,Convertible,8,16,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM816L125PC
"Square D 125A Convertible Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,HOM816L125PRB,125,Convertible,8,16,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-HOM816L125PRB
"Square D 100A Main Breaker Loadcenter, 8 Space, 16 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,HOM816M100PC,100,Main Breaker,8,16,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-HOM816M100PC
"Square D 150A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Feed-through Lugs",Square D,HOM816M150PFTRB,150,Main Breaker,8,16,Outdoor,Surface,"Plug-On Neutral, Feed-through Lugs",LOAD-CENTER-Square-D-HOM816M150PFTRB
"Square D 200A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Feed-through Lugs",Square D,HOM816M200PFTRB,200,Main Breaker,8,16,Outdoor,Surface,"Plug-On Neutral, Feed-through Lugs",LOAD-CENTER-Square-D-HOM816M200PFTRB
"Leviton 200A Main Breaker Loadcenter, 42 Space, 42 Circuit, Indoor, Flush Mount",Leviton,LP420-BPD,200,Main Breaker,42,42,Indoor,Flush,,LOAD-CENTER-Leviton-LP420-BPD
"Siemens 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P1224L1125CU,125,Main Lug Only,12,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P1224L1125CU
"Siemens 125A Main Lug Only Loadcenter, 16 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P1624L1125CU,125,Main Lug Only,16,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P1624L1125CU
"Siemens 100A Main Breaker Loadcenter, 20 Space, 20 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P2020B1100CU,100,Main Breaker,20,20,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P2020B1100CU
"Siemens 125A Main Lug Only Loadcenter, 20 Space, 20 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P2024L1125CU,125,Main Lug Only,20,20,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P2024L1125CU
"Siemens 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P2040B1200CU,200,Main Breaker,20,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P2040B1200CU
"Siemens 100A Main Breaker Loadcenter, 24 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P2424B1100CU,100,Main Breaker,24,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P2424B1100CU
"Siemens 125A Main Lug Only Loadcenter, 24 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P2440L1125CU,125,Main Lug Only,24,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P2440L1125CU
"Siemens 100A Main Breaker Loadcenter, 30 Space, 30 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P3030B1100CU,100,Main Breaker,30,30,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P3030B1100CU
"Siemens 125A Main Lug Only Loadcenter, 30 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P3040L1125CU,125,Main Lug Only,30,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P3040L1125CU
"Siemens 200A Main Lug Only Loadcenter, 30 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P3040L1200CU,200,Main Lug Only,30,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P3040L1200CU
"Siemens 200A Main Breaker Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P3060B1200ACU,200,Main Breaker,30,60,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P3060B1200ACU
"Siemens 200A Main Lug Only Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P3060L1200ACU,200,Main Lug Only,30,60,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P3060L1200ACU
"Siemens 200A Main Breaker Loadcenter, 40 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P4040B1200,200,Main Breaker,40,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P4040B1200
"Siemens 200A Main Breaker Loadcenter, 40 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,P4040B1200CU,200,Main Breaker,40,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-P4040B1200CU
"Siemens 125A Convertible Loadcenter, 12 Space, 12 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN1212L1125C,125,Convertible,12,12,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN1212L1125C
"Siemens 125A Convertible Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN1224L1125C,125,Convertible,12,24,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN1224L1125C
"Siemens 125A Convertible Loadcenter, 16 Space, 32 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN1632L1125C,125,Convertible,16,32,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN1632L1125C
"Siemens 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN2040B1200C,200,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN2040B1200C
"Siemens 125A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN2040L1125C,125,Convertible,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN2040L1125C
"Siemens 150A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN2040L1150C,150,Convertible,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN2040L1150C
"Siemens 200A Convertible Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN2040L1200C,200,Convertible,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN2040L1200C
"Siemens 125A Convertible Loadcenter, 24 Space, 48 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN2448L1125C,125,Convertible,24,48,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN2448L1125C
"Siemens 100A Main Breaker Loadcenter, 30 Space, 30 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN3030B1100C,100,Main Breaker,30,30,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN3030B1100C
"Siemens 125A Main Breaker Loadcenter, 30 Space, 30 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN3030B1125C,125,Main Breaker,30,30,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN3030B1125C
"Siemens 200A Main Breaker Loadcenter, 30 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN3048B1200C,200,Main Breaker,30,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN3048B1200C
"Siemens 125A Convertible Loadcenter, 30 Space, 48 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN3048L1125C,125,Convertible,30,48,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN3048L1125C
"Siemens 200A Convertible Loadcenter, 30 Space, 48 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN3048L1200C,200,Convertible,30,48,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN3048L1200C
"Siemens 200A Main Breaker Loadcenter, 40 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN4040B1200C,200,Main Breaker,40,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN4040B1200C
"Siemens 200A Convertible Loadcenter, 40 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN4040L1200C,200,Convertible,40,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN4040L1200C
"Siemens 200A Main Breaker Loadcenter, 40 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN4060B1200C,200,Main Breaker,40,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN4060B1200C
"Siemens 200A Convertible Loadcenter, 40 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN4060L1200C,200,Convertible,40,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN4060L1200C
"Siemens 225A Convertible Loadcenter, 42 Space, 64 Circuit, Indoor, Flush Mount, Plug-On Neutral",Siemens,PN4264L1225C,225,Convertible,42,64,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Siemens-PN4264L1225C
"Siemens 200A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Feed-through Lugs",Siemens,PNW0816B1200TC,200,Main Breaker,8,16,Outdoor,Surface,"Plug-On Neutral, Feed-through Lugs",LOAD-CENTER-Siemens-PNW0816B1200TC
"Siemens 200A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Feed-through Lugs",Siemens,PNW0816L1200TC,200,Main Lug Only,8,16,Outdoor,Surface,"Plug-On Neutral, Feed-through Lugs",LOAD-CENTER-Siemens-PNW0816L1200TC
"Siemens 125A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW1212L1125C,125,Main Lug Only,8,16,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW1212L1125C
"Siemens 125A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW1224L1125C,125,Convertible,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW1224L1125C
"Siemens 200A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW1224L1200C,200,Convertible,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW1224L1200C
"Siemens 125A Convertible Loadcenter, 16 Space, 32 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW1632L1125C,125,Convertible,16,32,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW1632L1125C
"Siemens 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW2040B1200C,200,Main Breaker,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW2040B1200C
"Siemens 150A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW2040L1150C,150,Convertible,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW2040L1150C
"Siemens 200A Convertible Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW2040L1200C,200,Convertible,20,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW2040L1200C
"Siemens 200A Main Breaker Loadcenter, 30 Space, 48 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW3048B1200,200,Main Breaker,30,48,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW3048B1200
"Siemens 200A Main Breaker Loadcenter, 30 Space, 48 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW3048B1200C,200,Main Breaker,30,48,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW3048B1200C
"Siemens 125A Convertible Loadcenter, 30 Space, 48 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW3048L1125C,125,Convertible,30,48,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW3048L1125C
"Siemens 200A Convertible Loadcenter, 30 Space, 48 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW3048L1200C,200,Convertible,30,48,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW3048L1200C
"Siemens 200A Main Lug Only Loadcenter, 40 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW4040B1200C,200,Main Lug Only,40,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW4040B1200C
"Siemens 200A Convertible Loadcenter, 40 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW4040L1200C,200,Convertible,40,40,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW4040L1200C
"Siemens 225A Convertible Loadcenter, 42 Space, 64 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Siemens,PNW4264L1225C,225,Convertible,42,64,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Siemens-PNW4264L1225C
"Siemens 200A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, DISCONTINUED",Siemens,PW0816B1200TC,200,Main Breaker,8,16,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Siemens-PW0816B1200TC
"Siemens 200A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, DISCONTINUED",Siemens,PW0816L1200TC,200,Main Lug Only,8,16,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Siemens-PW0816L1200TC
"Siemens 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, DISCONTINUED",Siemens,PW1224L1125CU,125,Main Lug Only,12,24,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Siemens-PW1224L1125CU
"Siemens 200A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, DISCONTINUED",Siemens,PW1224L1200CU,200,Main Lug Only,12,24,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Siemens-PW1224L1200CU
"Siemens 200A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Outdoor, Surface Mount, DISCONTINUED",Siemens,PW2040L1200CU,200,Main Lug Only,20,40,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Siemens-PW2040L1200CU
"Siemens 225A Main Lug Only Loadcenter, 42 Space, 60 Circuit, Outdoor, Surface Mount, DISCONTINUED",Siemens,PW4260L1225CU,225,Main Lug Only,42,60,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Siemens-PW4260L1225CU
"Square D 200A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Square D,Q2200MRBE,200,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Square-D-Q2200MRBE
"Square D 200A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Square D,Q22200NRB,200,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Square-D-Q22200NRB
"Square D 125A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, DISCONTINUED",Square D,QO11224L125GRB,125,Convertible,12,24,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Square-D-QO11224L125GRB
"Square D 125A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Ground Bar",Square D,QO112L125PGRB,125,Convertible,12,24,Outdoor,Surface,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-QO112L125PGRB
"Square D 200A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Ground Bar",Square D,QO112L200PGRB,200,Convertible,12,24,Outdoor,Surface,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-QO112L200PGRB
"Square D 100A Main Breaker Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,QO112M100PRB,100,Main Breaker,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-QO112M100PRB
"Square D 125A Convertible Loadcenter, 16 Space, 24 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Square D,QO116L125PG,125,Convertible,16,24,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-QO116L125PG
"Square D 125A Main Lug Only Loadcenter, 24 Space, 24 Circuit, Outdoor, Surface Mount, DISCONTINUED",Square D,QO124L125GRB,125,Main Lug Only,24,24,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Square-D-QO124L125GRB
"Square D 200A Main Lug Only Loadcenter, 30 Space, 30 Circuit, Outdoor, Surface Mount, DISCONTINUED",Square D,QO130L200GRB,200,Main Lug Only,30,30,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Square-D-QO130L200GRB
"Square D 200A Convertible Loadcenter, 30 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Ground Bar",Square D,QO130L200PGRB,200,Convertible,30,40,Outdoor,Surface,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-QO130L200PGRB
"Square D 150A Main Breaker Loadcenter, 30 Space, 40 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Ground Bar",Square D,QO130M150PRB,150,Main Breaker,30,40,Outdoor,Surface,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-QO130M150PRB
"Square D 200A Main Breaker Loadcenter, 40 Space, 60 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Ground Bar",Square D,QO140M200PRB,200,Main Breaker,40,60,Outdoor,Surface,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Square-D-QO140M200PRB
"Square D 200A Main Breaker Loadcenter, 40 Space, 40 Circuit, Outdoor, Surface Mount, DISCONTINUED",Square D,QO140M200RB,200,Main Breaker,40,40,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Square-D-QO140M200RB
"Square D 200A Main Breaker Loadcenter, 42 Space, 52 Circuit, Indoor, Flush Mount, Plug-On Neutral",Square D,QO142M200P,200,Main Breaker,42,52,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Square-D-QO142M200P
"Square D 200A Main Breaker Loadcenter, 42 Space, 52 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Square D,QO142M200PRB,200,Main Breaker,42,52,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Square-D-QO142M200PRB
"Square D 200A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Feed-through Lugs",Square D,QO1816M200FTRB,200,Main Breaker,8,16,Outdoor,Surface,Feed-through Lugs,LOAD-CENTER-Square-D-QO1816M200FTRB
"Square D 100A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Square D,QO2100BNRB,100,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Square-D-QO2100BNRB
"Square D 100A Main Breaker Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Square D,QO2100BNS,100,Main Breaker,2,2,Outdoor,Surface,,LOAD-CENTER-Square-D-QO2100BNS
"Square D 125A Main Breaker Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount, DISCONTINUED",Square D,QO2125BNF,125,Main Breaker,2,2,Outdoor,Surface,DISCONTINUED,LOAD-CENTER-Square-D-QO2125BNF
"Square D 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Outdoor, Flush Mount, DISCONTINUED",Square D,QO24L70F,70,Main Lug Only,2,4,Outdoor,Flush,DISCONTINUED,LOAD-CENTER-Square-D-QO24L70F
"Square D 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Outdoor, Surface Mount",Square D,QO24L70RB,70,Main Lug Only,2,4,Outdoor,Surface,,LOAD-CENTER-Square-D-QO24L70RB
"Square D 70A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Surface Mount",Square D,QO24L70S,70,Main Lug Only,2,4,Indoor,Surface,,LOAD-CENTER-Square-D-QO24L70S
"Square D 100A Main Lug Only Loadcenter, 6 Space, 12 Circuit, Indoor, Flush Mount",Square D,QO612L100DF,100,Main Lug Only,6,12,Indoor,Flush,,LOAD-CENTER-Square-D-QO612L100DF
"Square D 100A Main Lug Only Loadcenter, 6 Space, 12 Circuit, Outdoor, Surface Mount",Square D,QO612L100RB,100,Main Lug Only,6,12,Outdoor,Surface,,LOAD-CENTER-Square-D-QO612L100RB
"Square D 100A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Indoor, Flush Mount",Square D,QO816L100F,100,Main Lug Only,8,16,Indoor,Flush,,LOAD-CENTER-Square-D-QO816L100F
"Square D 100A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount",Square D,QO816L100RB,100,Main Lug Only,8,16,Outdoor,Surface,,LOAD-CENTER-Square-D-QO816L100RB
"Square D 225A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Square D,QOM22225NRB,225,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Square-D-QOM22225NRB
"Square D 200A Main Breaker Enclosure Loadcenter, 2 Space, 2 Circuit, Outdoor, Surface Mount",Square D,QOM2E2200NRB,200,Main Breaker Enclosure,2,2,Outdoor,Surface,,LOAD-CENTER-Square-D-QOM2E2200NRB
"Siemens 100A Main Breaker Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,S1224B1100,100,Main Breaker,12,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-S1224B1100
"Siemens 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,S1224L1125,125,Main Lug Only,12,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-S1224L1125
"Siemens 200A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,S2040B1200,200,Main Breaker,20,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-S2040B1200
"Siemens 200A Main Lug Only Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,S2040L1200,200,Main Lug Only,20,40,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-S2040L1200
"Siemens 125A Main Breaker Loadcenter, 24 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Siemens,S2424B1125,125,Main Breaker,24,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Siemens-S2424B1125
