Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Eaton 125A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Indoor, Flush Mount",Eaton,BR816L125RP,125,Main Lug Only,8,16,Indoor,Flush,,LOAD-CENTER-Eaton-BR816L125RP
"Eaton 125A Main Lug Only Loadcenter, 8 Space, 16 Circuit, Outdoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BR816L125SGP,125,Main Lug Only,8,16,Outdoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BR816L125SGP
"Eaton 125A Main Lug Only Loadcenter, 4 Space, 8 Circuit, Outdoor, Surface Mount, Front Cover",Eaton,BRC48L125RP,125,Main Lug Only,4,8,Outdoor,Surface,Front Cover,LOAD-CENTER-Eaton-BRC48L125RP
"Eaton 150A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral, Feed-through Lugs",Eaton,BRP08B150RF,150,Main Breaker,8,16,Outdoor,Surface,"Plug-On Neutral, Feed-through Lugs",LOAD-CENTER-Eaton-BRP08B150RF
"Eaton 200A Main Breaker Loadcenter, 8 Space, 16 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP08B200RF,200,Main Breaker,8,16,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP08B200RF
"Eaton 100A Main Breaker Loadcenter, 10 Space, 20 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP10B100,100,Main Breaker,10,20,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP10B100
"Eaton 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP12L125,125,Main Lug Only,12,24,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP12L125
"Eaton 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP12L125G,125,Main Lug Only,12,24,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP12L125G
"Eaton 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP12L125R,125,Main Lug Only,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP12L125R
"Eaton 200A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP12L200R,200,Main Lug Only,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP12L200R
"Eaton 125A Convertible Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP12N125,125,Convertible,12,24,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP12N125
"Eaton 125A Convertible Loadcenter, 12 Space, 24 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP12N125R,125,Convertible,12,24,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP12N125R
"Eaton 125A Main Breaker Loadcenter, 16 Space, 32 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP16B125,125,Main Breaker,16,32,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP16B125
"Eaton 125A Main Lug Only Loadcenter, 16 Space, 32 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP16L125R,125,Main Lug Only,16,32,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP16L125R
"Eaton 125A Convertible Loadcenter, 16 Space, 32 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP16N125,125,Convertible,16,32,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP16N125
"Eaton 200A Convertible Loadcenter, 16 Space, 32 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP16N200,200,Convertible,16,32,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP16N200
"Eaton 100A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP20B100,100,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20B100
"Eaton 125A Main Breaker Loadcenter, 20 Space, 40 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP20B125,125,Main Breaker,20,40,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP20B125
