Description,Manufacturer,Part Number,Monitoring Type,BRSID
Enphase IQ Combiner 3,Enphase,X-IQ-AM1-240-3,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-3
"Enphase IQ Combiner 3, with Mobile Connect Modem",Enphase,X-IQ-AM1-240-3 M,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-3-M
"Enphase IQ Combiner 3, integrated LTE-M1 cell modem",Enphase,X-IQ-AM1-240-3C,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-3C
"Enphase IQ Combiner 3, integrated LTE-M1 cell modem, Energy Storage Ready",Enphase,X-IQ-AM1-240-3C-ES,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-3C-ES
"Enphase IQ Combiner 3, Energy Storage Ready",Enphase,X-IQ-AM1-240-3-ES,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-3-ES
Enphase IQ Combiner 4,Enphase,X-IQ-AM1-240-4,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-4
"Enphase IQ Combiner 4, Integrated LTE-M1 Cell Modem",Enphase,X-IQ-AM1-240-4C,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-4C
Enphase IQ Combiner 5,Enphase,X-IQ-AM1-240-5,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-5
"Enphase IQ Combiner 5, Integrated LTE-M1 Cell Modem",Enphase,X-IQ-AM1-240-5C,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-5C
Enphase IQ Combiner,Enphase,X-IQ-AM1-240-B,Combiner Box,MONITORING-Enphase-X-IQ-AM1-240-B
