Description,Manufacturer,Part Number,Tool Type,Tool Size,BRSID
Channellock Tongue And Groove Pliers,Channellock,442,Tongue And Groove Pliers,,TOOLS-Channellock-442
Channellock Tongue And Groove Pliers,Channellock,420,Tongue And Groove Pliers,,TOOLS-Channellock-420
Channellock Tongue And Groove Pliers,Channellock,424,Tongue And Groove Pliers,,TOOLS-Channellock-424
Channellock Tongue And Groove Pliers,Channellock,430,Tongue And Groove Pliers,,TOOLS-Channellock-430
"Channellock Tongue And Groove Pliers, 12 in",Channellock,440,Tongue And Groove Pliers,12 in,TOOLS-Channellock-440
Chem Link Caulk Gun,Chem Link,F0940,Caulk Gun,,TOOLS-Chem-Link-F0940
"Chiptoolz Rafter Finder, 3 in",Chiptoolz,CT-001400,Rafter Finder,3 in,TOOLS-Chiptoolz-CT-001400
"Chiptoolz Stud Finder, wire",Chiptoolz,CT-01,Stud Finder,wire,TOOLS-Chiptoolz-CT-01
Chiptoolz Rafter Finder,Chiptoolz,RAFTER FINDER,Rafter Finder,,TOOLS-Chiptoolz-RAFTER-FINDER
Circuit Assembly Crimp Tool,Circuit Assembly,CA-AES-CT-15,Crimp Tool,,TOOLS-Circuit-Assembly-CA-AES-CT-15
"Coleman Cable Extension Cord, 50 ft",Coleman Cable,024088804,Extension Cord,50 ft,TOOLS-Coleman-Cable-024088804
"Coleman Cable Extension Cord, 50 ft",Coleman Cable,02548USA1,Extension Cord,50 ft,TOOLS-Coleman-Cable-02548USA1
"Coleman Cable Extension Cord, 100 ft",Coleman Cable,02549USA1,Extension Cord,100 ft,TOOLS-Coleman-Cable-02549USA1
"Coleman Cable Extension Cord, 50 ft",Coleman Cable,025788803,Extension Cord,50 ft,TOOLS-Coleman-Cable-025788803
"Coleman Cable Extension Cord, 100 ft",Coleman Cable,025890002,Extension Cord,100 ft,TOOLS-Coleman-Cable-025890002
"Coleman Cable Extension Cord, 2 ft",Coleman Cable,034820002,Extension Cord,2 ft,TOOLS-Coleman-Cable-034820002
"Coleman Cable Extension Cord, 12/3 AWG",Coleman Cable,1687SW0002,Extension Cord,12/3 AWG,TOOLS-Coleman-Cable-1687SW0002
"Coleman Cable Extension Cord, 100 ft",Coleman Cable,2689SW0002,Extension Cord,100 ft,TOOLS-Coleman-Cable-2689SW0002
"Coleman Cable Extension Cord, 100 ft",Coleman Cable,EC12/3X100,Extension Cord,100 ft,TOOLS-Coleman-Cable-EC12/3X100
"Coleman Cable Extension Cord, 50 ft",Coleman Cable,EC12/3X50,Extension Cord,50 ft,TOOLS-Coleman-Cable-EC12/3X50
"Craftsman Hole Saw, 1-3/4 in",Craftsman,CMAH1134A,Hole Saw,1-3/4 in,TOOLS-Craftsman-CMAH1134A
"Craftsman Hole Saw, 1-3/4 in",Craftsman,CMAH1134U,Hole Saw,1-3/4 in,TOOLS-Craftsman-CMAH1134U
Crescent  Wire Stripper,Crescent ,CCP8V,Wire Stripper,,TOOLS-Crescent--CCP8V
Crescent  Diagonal Cutting Pliers,Crescent ,Z5428,Diagonal Cutting Pliers,,TOOLS-Crescent--Z5428
Cully Caulk Gun,Cully,96000,Caulk Gun,,TOOLS-Cully-96000
"Cully Cable Saw, 36 in",Cully,96260,Cable Saw,36 in,TOOLS-Cully-96260
"Cully Tie-Down Strap, 24 in",Cully,37207,Tie-Down Strap,24 in,TOOLS-Cully-37207
"Cully Screwdriver Bit, hex #2",Cully,38204D,Screwdriver Bit,hex #2,TOOLS-Cully-38204D
Cully Screwdriver Bit,Cully,38206,Screwdriver Bit,,TOOLS-Cully-38206
"Cully Screwdriver Bit, #2 Phillips",Cully,38504,Screwdriver Bit,#2 Phillips,TOOLS-Cully-38504
Cully Screwdriver Bit,Cully,38506,Screwdriver Bit,,TOOLS-Cully-38506
Cully Nut Driver Bit,Cully,39015,Nut Driver Bit,,TOOLS-Cully-39015
"Cully Bit Holder/Extender, 3 in",Cully,39018,Bit Holder/Extender,3 in,TOOLS-Cully-39018
"Cully Rotary Hammer Drill Bit, 3/16 x 4-1/2 in",Cully,59980,Rotary Hammer Drill Bit,3/16 x 4-1/2 in,TOOLS-Cully-59980
"Cully Rotary Hammer Drill Bit, 1/4 x 14 in",Cully,59996,Rotary Hammer Drill Bit,1/4 x 14 in,TOOLS-Cully-59996
"Cully Flexible Fish Bit, 9/16 x 72 in",Cully,92055,Flexible Fish Bit,9/16 x 72 in,TOOLS-Cully-92055
Cully Caulk Gun,Cully,96000,Caulk Gun,,TOOLS-Cully-96000
"Current Tools PVC Heating Blanket, 1/2 in to 1-1/2 in",Current Tools,441,PVC Heating Blanket,1/2 in to 1-1/2 in,TOOLS-Current-Tools-441
"DeWalt Hole Saw, 1-1/8 in",DeWalt,D180018IR,Hole Saw,1-1/8 in,TOOLS-DeWalt-D180018IR
"DeWalt Hole Saw, 1-1/2 in",DeWalt,D180024IR,Hole Saw,1-1/2 in,TOOLS-DeWalt-D180024IR
"DeWalt Hole Saw, 5 piece",DeWalt,D1800IR5,Hole Saw,5 piece,TOOLS-DeWalt-D1800IR5
DeWalt Hammer Drill,DeWalt,D25481K,Hammer Drill,,TOOLS-DeWalt-D25481K
DeWalt Tool Battery Charger,DeWalt,DC9310,Tool Battery Charger,,TOOLS-DeWalt-DC9310
"DeWalt Tool Battery, 20 v",DeWalt,DCB201,Tool Battery,20 v,TOOLS-DeWalt-DCB201
"DeWalt Tool Battery, 20v",DeWalt,DCB203-2,Tool Battery,20v,TOOLS-DeWalt-DCB203-2
"DeWalt Tool Battery, 20 v",DeWalt,DCB205,Tool Battery,20 v,TOOLS-DeWalt-DCB205
DeWalt Tool Battery,DeWalt,DCB205-2,Tool Battery,,TOOLS-DeWalt-DCB205-2
DeWalt Tool Battery Charger,DeWalt,DCB205-2CK,Tool Battery Charger,,TOOLS-DeWalt-DCB205-2CK
"DeWalt Tool Battery, 20 v",DeWalt,DCB230-2,Tool Battery,20 v,TOOLS-DeWalt-DCB230-2
"DeWalt Tool Battery, 20v 4ah",DeWalt,DCB240-2,Tool Battery,20v 4ah,TOOLS-DeWalt-DCB240-2
"DeWalt Tool Battery, 60V",DeWalt,DCB609-2,Tool Battery,60V,TOOLS-DeWalt-DCB609-2
DeWalt Tool Battery,DeWalt,DCBP034,Tool Battery,,TOOLS-DeWalt-DCBP034
DeWalt Hammer Drill,DeWalt,DCD996P2,Hammer Drill,,TOOLS-DeWalt-DCD996P2
DeWalt Hammer Drill,DeWalt,DCD996P2 PROMO,Hammer Drill,,TOOLS-DeWalt-DCD996P2-PROMO
DeWalt Impact Driver,DeWalt,DCF850B,Impact Driver,,TOOLS-DeWalt-DCF850B
DeWalt Impact Driver,DeWalt,DCF887B,Impact Driver,,TOOLS-DeWalt-DCF887B
"DeWalt Impact Driver Kit, 20 v",DeWalt,DCF887M2,Impact Driver Kit,20 v,TOOLS-DeWalt-DCF887M2
DeWalt Rotary Hammer,DeWalt,DCH172D2,Rotary Hammer,,TOOLS-DeWalt-DCH172D2
DeWalt Rotary Hammer,DeWalt,DCH273P2,Rotary Hammer,,TOOLS-DeWalt-DCH273P2
DeWalt Hammer Drill,DeWalt,DCH293B,Hammer Drill,,TOOLS-DeWalt-DCH293B
"DeWalt Rotary Hammer, 1-7/8 in",DeWalt,DCH735X2,Rotary Hammer,1-7/8 in,TOOLS-DeWalt-DCH735X2
DeWalt Rotary Hammer,DeWalt,DCH775X2,Rotary Hammer,,TOOLS-DeWalt-DCH775X2
"DeWalt Tool Kit, 2 tools",DeWalt,DCK2100P2,Tool Kit,2 tools,TOOLS-DeWalt-DCK2100P2
