Description,Manufacturer,Part Number,Tool Type,Tool Size,BRSID
Ideal Industries Conduit Bender,Ideal Industries,74-027,Conduit Bender,,TOOLS-Ideal-Industries-74-027
"Ideal Industries Conduit Bender, 1 in",Ideal Industries,74-028,Conduit Bender,1 in,TOOLS-Ideal-Industries-74-028
"Ideal Industries Conduit Bender, 1-1/4 in",Ideal Industries,74-034,Conduit Bender,1-1/4 in,TOOLS-Ideal-Industries-74-034
"Ideal Industries Conduit Bender, 3/4 in",Ideal Industries,74-037,Conduit Bender,3/4 in,TOOLS-Ideal-Industries-74-037
"Ideal Industries Conduit Bender, 1/2 in",Ideal Industries,74-047,Conduit Bender,1/2 in,TOOLS-Ideal-Industries-74-047
"Ideal Industries Screwdriver Bit, 1 in",Ideal Industries,78-0202,Screwdriver Bit,1 in,TOOLS-Ideal-Industries-78-0202
"Ideal Industries Screwdriver Bit, 1 in",Ideal Industries,78-0227,Screwdriver Bit,1 in,TOOLS-Ideal-Industries-78-0227
"Ideal Industries Screwdriver Bit, 1 in",Ideal Industries,78-0230,Screwdriver Bit,1 in,TOOLS-Ideal-Industries-78-0230
Ideal Industries Tool Battery,Ideal Industries,BP-806,Tool Battery,,TOOLS-Ideal-Industries-BP-806
Ideal Industries Crimp Tool,Ideal Industries,C24,Crimp Tool,,TOOLS-Ideal-Industries-C24
"Ilsco Crimp Tool, 8 AWG to 1/0 AWG",Ilsco,ILC-10-N,Crimp Tool,8 AWG to 1/0 AWG,TOOLS-Ilsco-ILC-10-N
"International Tool Manufacturing Masonry Drill Bit, 1/4 in x 4 in",International Tool Manufacturing,502SP4003,Masonry Drill Bit,1/4 in x 4 in,TOOLS-International-Tool-Manufacturing-502SP4003
"International Tool Manufacturing Bit Holder/Extender, 3 in",International Tool Manufacturing,BH-075-14,Bit Holder/Extender,3 in,TOOLS-International-Tool-Manufacturing-BH-075-14
"International Tool Manufacturing Nut Driver Bit, 5/16 in",International Tool Manufacturing,NS-042-20,Nut Driver Bit,5/16 in,TOOLS-International-Tool-Manufacturing-NS-042-20
"Irwin Spade Bit, 1-1/8 in x 6 in",Irwin,88818,Spade Bit,1-1/8 in x 6 in,TOOLS-Irwin-88818
"Irwin Spade Bit, 1-1/4 in x 6 in",Irwin,88820,Spade Bit,1-1/4 in x 6 in,TOOLS-Irwin-88820
"Irwin Spade Bit, 1 in x 6 in",Irwin,88822,Spade Bit,1 in x 6 in,TOOLS-Irwin-88822
Irwin Tongue And Groove Pliers Set,Irwin,2078711,Tongue And Groove Pliers Set,,TOOLS-Irwin-2078711
"Irwin Masonry Drill Bit, 1x8x12 in",Irwin,326027,Masonry Drill Bit,1x8x12 in,TOOLS-Irwin-326027
iToolco Ground Rod Driver,iToolco,GRD01,Ground Rod Driver,,TOOLS-iToolco-GRD01
Jonard Diagonal Cutting Pliers,Jonard,JIC-7858,Diagonal Cutting Pliers,,TOOLS-Jonard-JIC-7858
"Keeper Tie-Down Strap, 35 in",Keeper,6235,Tie-Down Strap,35 in,TOOLS-Keeper-6235
Kena Fish Rod Set,Kena,KR307,Fish Rod Set,,TOOLS-Kena-KR307
"Klein Tapping Tool, 6-32 to 1/4-20",Klein,626,Tapping Tool,6-32 to 1/4-20,TOOLS-Klein-626
"Klein Screwdriver, #2 Square",Klein,662,Screwdriver,#2 Square,TOOLS-Klein-662
"Klein Jab Saw, 6 in",Klein,725,Jab Saw,6 in,TOOLS-Klein-725
"Klein Crimp Tool, 10 AWG to 22 AWG",Klein,1005,Crimp Tool,10 AWG to 22 AWG,TOOLS-Klein-1005
Klein Wire Stripper,Klein,1009,Wire Stripper,,TOOLS-Klein-1009
"Klein Wire Stripper, 10 AWG to 28 AWG",Klein,1019,Wire Stripper,10 AWG to 28 AWG,TOOLS-Klein-1019
Klein Bucket,Klein,5104,Bucket,,TOOLS-Klein-5104
"Klein Tool Pouch, 7 in",Klein,5139,Tool Pouch,7 in,TOOLS-Klein-5139
"Klein Tool Pouch Set, 4 piece",Klein,5140,Tool Pouch Set,4 piece,TOOLS-Klein-5140
"Klein Tape Measure, 16 ft",Klein,9216,Tape Measure,16 ft,TOOLS-Klein-9216
"Klein Tape Measure, 25 ft",Klein,9225,Tape Measure,25 ft,TOOLS-Klein-9225
"Klein Tape Measure, 30 ft",Klein,9230,Tape Measure,30 ft,TOOLS-Klein-9230
"Klein Wire Stripper, 10 to 18 AWG",Klein,11045,Wire Stripper,10 to 18 AWG,TOOLS-Klein-11045
"Klein Wire Stripper, 16 AWG to 26 AWG",Klein,11046,Wire Stripper,16 AWG to 26 AWG,TOOLS-Klein-11046
Klein Wire Stripper,Klein,11053,Wire Stripper,,TOOLS-Klein-11053
"Klein Wire Stripper, 20 AWG to 10 AWG",Klein,11055,Wire Stripper,20 AWG to 10 AWG,TOOLS-Klein-11055
Klein Wire Stripper,Klein,11061,Wire Stripper,,TOOLS-Klein-11061
Klein Reamer Attachment,Klein,19352,Reamer Attachment,,TOOLS-Klein-19352
Klein 092644556241,Klein,19353,092644556241,,TOOLS-Klein-19353
Klein Cable Stripper,Klein,21051,Cable Stripper,,TOOLS-Klein-21051
Klein Power Strip,Klein,29601,Power Strip,,TOOLS-Klein-29601
"Klein Carbide Hole Cutter Set, 4 piece",Klein,31872,Carbide Hole Cutter Set,4 piece,TOOLS-Klein-31872
"Klein Hole Saw, 3/8 in",Klein,31905,Hole Saw,3/8 in,TOOLS-Klein-31905
"Klein Drill Tap Bit Set, 8 bits: 6-32 to 1/4-20",Klein,32217,Drill Tap Bit Set,8 bits: 6-32 to 1/4-20,TOOLS-Klein-32217
Klein Multi-Bit Driver,Klein,32288,Multi-Bit Driver,,TOOLS-Klein-32288
Klein Socket,Klein,32304,Socket,,TOOLS-Klein-32304
"Klein Multi-Bit Driver Set, 15 bits",Klein,32305,Multi-Bit Driver Set,15 bits,TOOLS-Klein-32305
Klein Screwdriver,Klein,32307,Screwdriver,,TOOLS-Klein-32307
"Klein Multi-Bit Driver Set, 8 bit",Klein,32308,Multi-Bit Driver Set,8 bit,TOOLS-Klein-32308
"Klein Multi-Bit Driver Set, 14 bit",Klein,32314,Multi-Bit Driver Set,14 bit,TOOLS-Klein-32314
Klein Screwdriver,Klein,32328,Screwdriver,,TOOLS-Klein-32328
Klein Screwdriver,Klein,32477,Screwdriver,,TOOLS-Klein-32477
Klein Multi-Bit Driver,Klein,32500,Multi-Bit Driver,,TOOLS-Klein-32500
Klein Screwdriver,Klein,32517,Screwdriver,,TOOLS-Klein-32517
"Klein Multi-Bit Driver Set, 8 bits",Klein,32527,Multi-Bit Driver Set,8 bits,TOOLS-Klein-32527
Klein Screwdriver Set,Klein,32557,Screwdriver Set,,TOOLS-Klein-32557
Klein Screwdriver,Klein,32614,Screwdriver,,TOOLS-Klein-32614
"Klein Multi-Bit Driver Set, 39 bits",Klein,32717,Multi-Bit Driver Set,39 bits,TOOLS-Klein-32717
"Klein Nut Driver Bit Set, 3 piece",Klein,32759,Nut Driver Bit Set,3 piece,TOOLS-Klein-32759
"Klein Socket, 1/4 to 5/16 in",Klein,32766,Socket,1/4 to 5/16 in,TOOLS-Klein-32766
Klein Nut Driver Bit Set,Klein,32767,Nut Driver Bit Set,,TOOLS-Klein-32767
Klein Socket Set,Klein,32768,Socket Set,,TOOLS-Klein-32768
"Klein Driver Bit Set, 26 piece",Klein,32799,Driver Bit Set,26 piece,TOOLS-Klein-32799
Klein Nut Driver,Klein,32801,Nut Driver,,TOOLS-Klein-32801
Klein Socket Set,Klein,32900,Socket Set,,TOOLS-Klein-32900
Klein Socket Set,Klein,32907,Socket Set,,TOOLS-Klein-32907
"Klein Driver Bit Set, 40 pieces",Klein,33801,Driver Bit Set,40 pieces,TOOLS-Klein-33801
Klein Pocket Knife,Klein,44002,Pocket Knife,,TOOLS-Klein-44002
"Klein Utility Knife Blade, 5 blades",Klein,44101,Utility Knife Blade,5 blades,TOOLS-Klein-44101
"Klein Utility Knife Blade, 50 pack",Klein,44103,Utility Knife Blade,50 pack,TOOLS-Klein-44103
"Klein Utility Knife Blade, 50 blades",Klein,44125,Utility Knife Blade,50 blades,TOOLS-Klein-44125
"Klein Utility Knife, 6-5/8 in",Klein,44130,Utility Knife,6-5/8 in,TOOLS-Klein-44130
Klein Utility Knife,Klein,44131,Utility Knife,,TOOLS-Klein-44131
Klein Cable Splicing Knife,Klein,44200,Cable Splicing Knife,,TOOLS-Klein-44200
Klein Cable Skinning Blade,Klein,44219,Cable Skinning Blade,,TOOLS-Klein-44219
Klein Utility Knife,Klein,44304,Utility Knife,,TOOLS-Klein-44304
"Klein Fish Tape, 75 ft",Klein,50375,Fish Tape,75 ft,TOOLS-Klein-50375
"Klein Fish Tape, 20 ft",Klein,50550,Fish Tape,20 ft,TOOLS-Klein-50550
"Klein Conduit Bender, 3/4 in",Klein,51604,Conduit Bender,3/4 in,TOOLS-Klein-51604
"Klein Conduit Bender, 1 in",Klein,51605,Conduit Bender,1 in,TOOLS-Klein-51605
"Klein Auger Bit, 3/4 in x 54 in",Klein,53719,Auger Bit,3/4 in x 54 in,TOOLS-Klein-53719
"Klein Tool Belt, XL",Klein,55429,Tool Belt,XL,TOOLS-Klein-55429
Klein Tool Box,Klein,55475,Tool Box,,TOOLS-Klein-55475
"Klein Tool Pouch Set, 2 piece",Klein,55559,Tool Pouch Set,2 piece,TOOLS-Klein-55559
"Klein Tool Bag, 2 piece",Klein,55599,Tool Bag,2 piece,TOOLS-Klein-55599
"Klein Tool Backpack, 23 qt",Klein,55604,Tool Backpack,23 qt,TOOLS-Klein-55604
Klein Tool Pouch,Klein,55913,Tool Pouch,,TOOLS-Klein-55913
Klein Tool Pouch,Klein,55914,Tool Pouch,,TOOLS-Klein-55914
Klein Tool Belt,Klein,55918,Tool Belt,,TOOLS-Klein-55918
"Klein Flashlight, 235 lumens",Klein,56028,Flashlight,235 lumens,TOOLS-Klein-56028
"Klein Fish Tape, 200 ft",Klein,56059,Fish Tape,200 ft,TOOLS-Klein-56059
"Klein Headlamp, 400 lumens",Klein,56064,Headlamp,400 lumens,TOOLS-Klein-56064
"Klein Pull Line, 6500 ft",Klein,56110,Pull Line,6500 ft,TOOLS-Klein-56110
"Klein Conduit Bender, 3/4 in",Klein,56207,Conduit Bender,3/4 in,TOOLS-Klein-56207
"Klein Headlamp, 150 lumens",Klein,56220,Headlamp,150 lumens,TOOLS-Klein-56220
"Klein Fish Rod Set, set",Klein,56312,Fish Rod Set,set,TOOLS-Klein-56312
"Klein Fish Rod Set, 24 ft",Klein,56324,Fish Rod Set,24 ft,TOOLS-Klein-56324
"Klein Fish Tape, 120 ft",Klein,56333,Fish Tape,120 ft,TOOLS-Klein-56333
"Klein Fish Tape, 240 ft",Klein,56334,Fish Tape,240 ft,TOOLS-Klein-56334
"Klein Fish Tape, 100 ft",Klein,56380,Fish Tape,100 ft,TOOLS-Klein-56380
"Klein Fish Tape, 100 ft",Klein,56383,Fish Tape,100 ft,TOOLS-Klein-56383
"Klein Flashlight, 1000 lumens",Klein,56413,Flashlight,1000 lumens,TOOLS-Klein-56413
"Klein Headlamp, 800 lumens",Klein,56414,Headlamp,800 lumens,TOOLS-Klein-56414
"Klein Fish Rod Set, 15 ft",Klein,56415,Fish Rod Set,15 ft,TOOLS-Klein-56415
Klein Fish Rod Set,Klein,56418,Fish Rod Set,,TOOLS-Klein-56418
"Klein Fish Rod Set, 30 ft",Klein,56430,Fish Rod Set,30 ft,TOOLS-Klein-56430
"Klein Locknut Wrench, 1/2 in to 3/4 in",Klein,56999,Locknut Wrench,1/2 in to 3/4 in,TOOLS-Klein-56999
"Klein Kneeling Pad, Black",Klein,60135,Kneeling Pad,Black,TOOLS-Klein-60135
Klein Knee Pads,Klein,60344,Knee Pads,,TOOLS-Klein-60344
"Klein Knee Pads, M/L",Klein,60511,Knee Pads,M/L,TOOLS-Klein-60511
"Klein Knee Pads, L/XL",Klein,60611,Knee Pads,L/XL,TOOLS-Klein-60611
Klein Cable Cutter,Klein,63215,Cable Cutter,,TOOLS-Klein-63215
"Klein Cable Cutter, 11-1/2 in",Klein,63711,Cable Cutter,11-1/2 in,TOOLS-Klein-63711
Klein Ratchet,Klein,65200,Ratchet,,TOOLS-Klein-65200
"Klein Socket Set, 7 piece: 3/8 in x 15/16 in",Klein,66070,Socket Set,7 piece: 3/8 in x 15/16 in,TOOLS-Klein-66070
"Klein Hex Key Set, 3/32 to 1/2 in",Klein,70550,Hex Key Set,3/32 to 1/2 in,TOOLS-Klein-70550
"Klein Hex Key Set, 3/32 in to 1/2 in",Klein,70552,Hex Key Set,3/32 in to 1/2 in,TOOLS-Klein-70552
"Klein Hex Key Set, set",Klein,70574,Hex Key Set,set,TOOLS-Klein-70574
Klein Hex Key Set,Klein,70579,Hex Key Set,,TOOLS-Klein-70579
"Klein Hex Key Set, 7 piece",Klein,70582,Hex Key Set,7 piece,TOOLS-Klein-70582
"Klein Screwdriver Set, 7 pieces",Klein,85076,Screwdriver Set,7 pieces,TOOLS-Klein-85076
Klein Screwdriver,Klein,85191,Screwdriver,,TOOLS-Klein-85191
"Klein Screwdriver Set, 4 pieces",Klein,85484,Screwdriver Set,4 pieces,TOOLS-Klein-85484
Klein Multi-Purpose Pliers,Klein,1005,Multi-Purpose Pliers,,TOOLS-Klein-1005
Klein Crimp Tool,Klein,1006,Crimp Tool,,TOOLS-Klein-1006
"Klein Wire Stripper, 22 AWG to 10 AWG",Klein,1009,Wire Stripper,22 AWG to 10 AWG,TOOLS-Klein-1009
"Klein Crimp Tool, 22 AWG to 10 AWG",Klein,1010,Crimp Tool,22 AWG to 10 AWG,TOOLS-Klein-1010
Klein Wire Stripper,Klein,1019,Wire Stripper,,TOOLS-Klein-1019
Klein Aviation Snips,Klein,1102S,Aviation Snips,,TOOLS-Klein-1102S
Klein Wire Stripper,Klein,11045,Wire Stripper,,TOOLS-Klein-11045
Klein Wire Stripper,Klein,11046,Wire Stripper,,TOOLS-Klein-11046
"Klein Wire Stripper, 12 AWG to 6 AWG",Klein,11053,Wire Stripper,12 AWG to 6 AWG,TOOLS-Klein-11053
Klein Wire Stripper,Klein,11054,Wire Stripper,,TOOLS-Klein-11054
"Klein Wire Stripper, 8 AWG to 16 AWG",Klein,11054EINS,Wire Stripper,8 AWG to 16 AWG,TOOLS-Klein-11054EINS
Klein Wire Stripper,Klein,11054GLW,Wire Stripper,,TOOLS-Klein-11054GLW
"Klein Wire Stripper, 20 AWG to 10 AWG",Klein,11055,Wire Stripper,20 AWG to 10 AWG,TOOLS-Klein-11055
Klein Wire Stripper,Klein,11055GLW,Wire Stripper,,TOOLS-Klein-11055GLW
"Klein Wire Stripper, 22 AWG to 8 AWG",Klein,11063W,Wire Stripper,22 AWG to 8 AWG,TOOLS-Klein-11063W
Klein Aviation Snips,Klein,1202S,Aviation Snips,,TOOLS-Klein-1202S
"Klein Multi-Purpose Pliers, 8 in",Klein,12098EINS,Multi-Purpose Pliers,8 in,TOOLS-Klein-12098EINS
Klein Reamer Attachment,Klein,19352,Reamer Attachment,,TOOLS-Klein-19352
Klein Wire Stripper,Klein,2005N,Wire Stripper,,TOOLS-Klein-2005N
"Klein Crimp Tool, 6 AWG to 4/0 AWG",Klein,2006,Crimp Tool,6 AWG to 4/0 AWG,TOOLS-Klein-2006
"Klein Multi-Purpose Pliers, 8 in",Klein,2038EINS,Multi-Purpose Pliers,8 in,TOOLS-Klein-2038EINS
Klein Scissors,Klein,2100-8,Scissors,,TOOLS-Klein-2100-8
Klein Cable Stripper,Klein,21051,Cable Stripper,,TOOLS-Klein-21051
Klein Lineman Pliers,Klein,213-9NE,Lineman Pliers,,TOOLS-Klein-213-9NE
"Klein Step Drill Bit Set, 3 piece",Klein,25951,Step Drill Bit Set,3 piece,TOOLS-Klein-25951
"Klein Step Drill Bit, 1/4 in to 3/4 in",Klein,25963,Step Drill Bit,1/4 in to 3/4 in,TOOLS-Klein-25963
Klein Crimp Tool,Klein,3005CR,Crimp Tool,,TOOLS-Klein-3005CR
Klein Jab Saw,Klein,31737,Jab Saw,,TOOLS-Klein-31737
"Klein Reciprocating Saw Blade, 8 in",Klein,31741,Reciprocating Saw Blade,8 in,TOOLS-Klein-31741
"Klein Reciprocating Saw Blade, 9 in",Klein,31755,Reciprocating Saw Blade,9 in,TOOLS-Klein-31755
"Klein Carbide Hole Cutter, 1-1/8 in",Klein,31856,Carbide Hole Cutter,1-1/8 in,TOOLS-Klein-31856
"Klein Carbide Hole Cutter, 1-3/8 in",Klein,31860,Carbide Hole Cutter,1-3/8 in,TOOLS-Klein-31860
"Klein Carbide Hole Cutter, 2 in",Klein,31868,Carbide Hole Cutter,2 in,TOOLS-Klein-31868
"Klein Hole Saw, 4 piece",Klein,31872,Hole Saw,4 piece,TOOLS-Klein-31872
"Klein Hole Saw, 8 piece",Klein,31873,Hole Saw,8 piece,TOOLS-Klein-31873
"Klein Hole Saw, 8 piece",Klein,31902,Hole Saw,8 piece,TOOLS-Klein-31902
"Klein Hole Saw, 3/8 in",Klein,31905,Hole Saw,3/8 in,TOOLS-Klein-31905
"Klein Hole Saw, 3/8 in",Klein,31906,Hole Saw,3/8 in,TOOLS-Klein-31906
"Klein Hole Saw, 1-1/8 in",Klein,31918,Hole Saw,1-1/8 in,TOOLS-Klein-31918
"Klein Hole Saw, 1-3/8 in",Klein,31922,Hole Saw,1-3/8 in,TOOLS-Klein-31922
"Klein Hole Saw, 2 in",Klein,31932,Hole Saw,2 in,TOOLS-Klein-31932
"Klein Hole Saw, 2-1/2 in ",Klein,31940,Hole Saw,2-1/2 in ,TOOLS-Klein-31940
"Klein Drill Tap Bit Set, 8 piece",Klein,32217,Drill Tap Bit Set,8 piece,TOOLS-Klein-32217
"Klein Multi-Bit Driver Set, 15 bits",Klein,32290,Multi-Bit Driver Set,15 bits,TOOLS-Klein-32290
Klein Screwdriver,Klein,32291,Screwdriver,,TOOLS-Klein-32291
Klein Screwdriver,Klein,32292,Screwdriver,,TOOLS-Klein-32292
Klein Screwdriver,Klein,32293,Screwdriver,,TOOLS-Klein-32293
Klein Screwdriver,Klein,32303,Screwdriver,,TOOLS-Klein-32303
Klein Screwdriver,Klein,32305,Screwdriver,,TOOLS-Klein-32305
"Klein Multi-Bit Driver Set, 8 bit",Klein,32308,Multi-Bit Driver Set,8 bit,TOOLS-Klein-32308
"Klein Ratcheting Screwdriver, 13 bits",Klein,32313HD,Ratcheting Screwdriver,13 bits,TOOLS-Klein-32313HD
"Klein Multi-Bit Driver Set, 14 bit",Klein,32314,Multi-Bit Driver Set,14 bit,TOOLS-Klein-32314
"Klein Multi-Bit Driver Set, 27 bits",Klein,32327,Multi-Bit Driver Set,27 bits,TOOLS-Klein-32327
Klein Screwdriver,Klein,32476,Screwdriver,,TOOLS-Klein-32476
Klein Screwdriver,Klein,32477,Screwdriver,,TOOLS-Klein-32477
Klein Multi-Bit Driver,Klein,32477-12,Multi-Bit Driver,,TOOLS-Klein-32477-12
Klein Screwdriver,Klein,32482,Screwdriver,,TOOLS-Klein-32482
Klein Screwdriver,Klein,32483,Screwdriver,,TOOLS-Klein-32483
Klein Screwdriver,Klein,32500,Screwdriver,,TOOLS-Klein-32500
"Klein Multi-Bit Driver Set, 11 pieces",Klein,32500MAG,Multi-Bit Driver Set,11 pieces,TOOLS-Klein-32500MAG
Klein Screwdriver Kit,Klein,32510,Screwdriver Kit,,TOOLS-Klein-32510
Klein Screwdriver,Klein,32517,Screwdriver,,TOOLS-Klein-32517
"Klein Screwdriver Bit Set, 32 piece",Klein,32525,Screwdriver Bit Set,32 piece,TOOLS-Klein-32525
Klein Screwdriver,Klein,32527,Screwdriver,,TOOLS-Klein-32527
Klein Screwdriver,Klein,32557,Screwdriver,,TOOLS-Klein-32557
Klein Screwdriver,Klein,32558,Screwdriver,,TOOLS-Klein-32558
Klein Screwdriver,Klein,32561,Screwdriver,,TOOLS-Klein-32561
Klein Screwdriver,Klein,32581,Screwdriver,,TOOLS-Klein-32581
"Klein Screwdriver, ph#0",Klein,32581INS,Screwdriver,ph#0,TOOLS-Klein-32581INS
"Klein Multi-Bit Driver Set, 6 bits",Klein,32594,Multi-Bit Driver Set,6 bits,TOOLS-Klein-32594
Klein Screwdriver,Klein,32614,Screwdriver,,TOOLS-Klein-32614
Klein Multi-Bit Driver,Klein,32-614,Multi-Bit Driver,,TOOLS-Klein-32-614
"Klein Multi-Bit Driver Set, 39 bits",Klein,32717,Multi-Bit Driver Set,39 bits,TOOLS-Klein-32717
"Klein Nut Driver Bit, 1/4 x 5/16 in",Klein,32766,Nut Driver Bit,1/4 x 5/16 in,TOOLS-Klein-32766
"Klein Nut Driver Bit, 3 piece",Klein,32767,Nut Driver Bit,3 piece,TOOLS-Klein-32767
Klein Socket Set,Klein,32768,Socket Set,,TOOLS-Klein-32768
"Klein Nut Driver Bit, 5/16 in",Klein,32793,Nut Driver Bit,5/16 in,TOOLS-Klein-32793
"Klein Driver Bit Set, 26 piece",Klein,32799,Driver Bit Set,26 piece,TOOLS-Klein-32799
Klein Nut Driver,Klein,32800,Nut Driver,,TOOLS-Klein-32800
Klein Multi-Bit Driver,Klein,32807MAG,Multi-Bit Driver,,TOOLS-Klein-32807MAG
Klein Multi-Bit Driver,Klein,32900,Multi-Bit Driver,,TOOLS-Klein-32900
"Klein Hole Saw, 3 piece",Klein,32905,Hole Saw,3 piece,TOOLS-Klein-32905
Klein Socket Set,Klein,32907,Socket Set,,TOOLS-Klein-32907
"Klein Nut Driver Bit Set, 6 pieces: 7 mm to 14 mm",Klein,32933M,Nut Driver Bit Set,6 pieces: 7 mm to 14 mm,TOOLS-Klein-32933M
Klein Screwdriver,Klein,33532-INS,Screwdriver,,TOOLS-Klein-33532-INS
"Klein Screwdriver Set, 2 piece",Klein,33732INS,Screwdriver Set,2 piece,TOOLS-Klein-33732INS
"Klein Screwdriver Set, 4 piece",Klein,33734INS,Screwdriver Set,4 piece,TOOLS-Klein-33734INS
Klein Tool Belt,Klein,42200,Tool Belt,,TOOLS-Klein-42200
"Klein Pocket Knife, 2-1/4 in",Klein,44000-BLK,Pocket Knife,2-1/4 in,TOOLS-Klein-44000-BLK
Klein Pocket Knife,Klein,44001-BLK,Pocket Knife,,TOOLS-Klein-44001-BLK
"Klein Utility Knife Blade, 5 blades",Klein,44101,Utility Knife Blade,5 blades,TOOLS-Klein-44101
"Klein Utility Knife Blade, 50 pack",Klein,44103,Utility Knife Blade,50 pack,TOOLS-Klein-44103
Klein Utility Knife,Klein,44130,Utility Knife,,TOOLS-Klein-44130
Klein Utility Knife,Klein,44131,Utility Knife,,TOOLS-Klein-44131
Klein Utility Knife,Klein,44135,Utility Knife,,TOOLS-Klein-44135
Klein Pocket Knife,Klein,44142,Pocket Knife,,TOOLS-Klein-44142
Klein Pocket Knife,Klein,44201,Pocket Knife,,TOOLS-Klein-44201
Klein Pocket Knife,Klein,44213,Pocket Knife,,TOOLS-Klein-44213
"Klein Pocket Multi-Tool, 3 in",Klein,44216,Pocket Multi-Tool,3 in,TOOLS-Klein-44216
Klein Cable Skinning Knife,Klein,44218,Cable Skinning Knife,,TOOLS-Klein-44218
Klein Cable Skinning Blade,Klein,44219,Cable Skinning Blade,,TOOLS-Klein-44219
Klein Pocket Knife,Klein,44220,Pocket Knife,,TOOLS-Klein-44220
Klein Pocket Knife,Klein,44222,Pocket Knife,,TOOLS-Klein-44222
Klein Pocket Knife,Klein,44223,Pocket Knife,,TOOLS-Klein-44223
Klein Pocket Knife,Klein,44228,Pocket Knife,,TOOLS-Klein-44228
Klein Cable Stapler,Klein,450-100,Cable Stapler,,TOOLS-Klein-450-100
"Klein Fish Rod Set, 25 ft",Klein,50254,Fish Rod Set,25 ft,TOOLS-Klein-50254
"Klein Fish Tape, 20ft",Klein,50550,Fish Tape,20ft,TOOLS-Klein-50550
Klein Cable Pulling Tool,Klein,50611,Cable Pulling Tool,,TOOLS-Klein-50611
"Klein Locknut Wrench, 1/2 in to 1 in",Klein,50900R,Locknut Wrench,1/2 in to 1 in,TOOLS-Klein-50900R
Klein Tool Holster,Klein,5107-9,Tool Holster,,TOOLS-Klein-5107-9
Klein Tool Bag,Klein,5139,Tool Bag,,TOOLS-Klein-5139
Klein Tool Bag,Klein,5139C,Tool Bag,,TOOLS-Klein-5139C
"Klein Tool Pouch Set, 4 piece",Klein,5140,Tool Pouch Set,4 piece,TOOLS-Klein-5140
"Klein Tool Pouch Set, 12-1/2x7 in",Klein,5141,Tool Pouch Set,12-1/2x7 in,TOOLS-Klein-5141
Klein Conduit Bender,Klein,51429,Conduit Bender,,TOOLS-Klein-51429
Klein Tool Bag,Klein,5144S,Tool Bag,,TOOLS-Klein-5144S
Klein Tool Box,Klein,5152S,Tool Box,,TOOLS-Klein-5152S
"Klein Conduit Bender, 3/4 in",Klein,51604,Conduit Bender,3/4 in,TOOLS-Klein-51604
"Klein Angle Setter, 3/4 in",Klein,51612,Angle Setter,3/4 in,TOOLS-Klein-51612
Klein Tool Box,Klein,5184,Tool Box,,TOOLS-Klein-5184
Klein Tool Pouch,Klein,5241,Tool Pouch,,TOOLS-Klein-5241
Klein Tool Holster,Klein,5248,Tool Holster,,TOOLS-Klein-5248
"Klein Armored Cable Cutter, 3/8 in",Klein,53725,Armored Cable Cutter,3/8 in,TOOLS-Klein-53725
Klein Knockout Kit,Klein,53732SEN,Knockout Kit,,TOOLS-Klein-53732SEN
Klein Tool Belt,Klein,5415S,Tool Belt,,TOOLS-Klein-5415S
"Klein Tool Box, 22.6 in x 15.5 in x 19.88 in",Klein,54802MB,Tool Box,22.6 in x 15.5 in x 19.88 in,TOOLS-Klein-54802MB
"Klein Tool Box, 22 in x 11.7 in x 15.5 in",Klein,54803MB,Tool Box,22 in x 11.7 in x 15.5 in,TOOLS-Klein-54803MB
"Klein Tool Box, 22 in x 6.6 in x 15.5 in",Klein,54804MB,Tool Box,22 in x 6.6 in x 15.5 in,TOOLS-Klein-54804MB
Klein Tool Belt,Klein,55400,Tool Belt,,TOOLS-Klein-55400
"Klein Tool Bag, 10 in",Klein,5541610-14,Tool Bag,10 in,TOOLS-Klein-5541610-14
"Klein Tool Backpack, 14 in",Klein,55421BP14,Tool Backpack,14 in,TOOLS-Klein-55421BP14
"Klein Tool Backpack, 14 in, Camo",Klein,55421BP14CAMO,Tool Backpack,"14 in, Camo",TOOLS-Klein-55421BP14CAMO
Klein Tool Box,Klein,55431,Tool Box,,TOOLS-Klein-55431
Klein Tool Bag,Klein,55473RTB,Tool Bag,,TOOLS-Klein-55473RTB
"Klein Tool Backpack, 19.5 in",Klein,55485,Tool Backpack,19.5 in,TOOLS-Klein-55485
Klein Tool Pouch Set,Klein,55560,Tool Pouch Set,,TOOLS-Klein-55560
Klein Tool Bag,Klein,55598,Tool Bag,,TOOLS-Klein-55598
"Klein Tool Bag, 2 piece",Klein,55599,Tool Bag,2 piece,TOOLS-Klein-55599
Klein Magnetic Wristband,Klein,55895,Magnetic Wristband,,TOOLS-Klein-55895
Klein Magnetic Pickup Tool,Klein,56027,Magnetic Pickup Tool,,TOOLS-Klein-56027
"Klein Flashlight, 235 lumens",Klein,56028,Flashlight,235 lumens,TOOLS-Klein-56028
Klein Work Light,Klein,56029,Work Light,,TOOLS-Klein-56029
Klein Work Light,Klein,56034,Work Light,,TOOLS-Klein-56034
"Klein Flashlight, 235 lumens",Klein,56040,Flashlight,235 lumens,TOOLS-Klein-56040
Klein Headlamp,Klein,56048,Headlamp,,TOOLS-Klein-56048
Klein Headlamp,Klein,56049,Headlamp,,TOOLS-Klein-56049
Klein Fish Tape,Klein,56055,Fish Tape,,TOOLS-Klein-56055
Klein Fish Tape,Klein,56056,Fish Tape,,TOOLS-Klein-56056
