Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
"Eaton Cutler Hammer 20a/1p 1 space breaker, GFCI, Trip Flag",Cutler Hammer,CHFGFT120,20,1,1,"GFCI, Trip Flag",BREAKER-Cutler Hammer-CHFGFT120,,,,,,,,,
"EATON 20a/1p 1 space breaker, AFCI, Plug-on Neutral",Eaton,BRP120AF,20,1,1,AFCI,BREAKER-Eaton-BRP120AF,,,,,,,,,
"EATON 20a/1p 1 space breaker, AFCI, Pigtail Neutral",Eaton,BRN120AF,20,1,1,AFCI,BREAKER-Eaton-BRN120AF,,,,,,,,,
"EATON 15a/1p 1 space breaker, AFCI, Pigtail Neutral",Eaton,BRN115AF,15,1,1,AFCI,BREAKER-Eaton-BRN115AF,,,,,,,,,
"EATON 15a/1p 1 space breaker, AFCI, Plug-on Neutral",Eaton,BRP115AF,15,1,1,AFCI,BREAKER-Eaton-BRP115AF,,,,,,,,,
"EATON 20a/1p 1 space breaker, Dual AFCI/GFCI, Plug-on Neutral",Eaton,BRP120DF,20,1,1,AFCI/GFCI,BREAKER-Eaton-BRP120DF,,,,,,,,,
"EATON 20a/1p 1 space breaker, Dual AFCI/GFCI, Pigtail Neutral",Eaton,BRN120DF,20,1,1,AFCI/GFCI,BREAKER-Eaton-BRN120DF,,,,,,,,,
"EATON 15a/1p 1 space breaker, Dual AFCI/GFCI, Plug-on Neutral",Eaton,BRP115DF,15,1,1,AFCI/GFCI,BREAKER-Eaton-BRP115DF,,,,,,,,,
"EATON 15a/1p 1 space breaker, Dual AFCI/GFCI, Pigtail Neutral",Eaton,BRN115DF,15,1,1,AFCI/GFCI,BREAKER-Eaton-BRN115DF,,,,,,,,,
EATON 200a/2p Main BJ2200,Eaton,BJ2200,200,4,2,Busbar Only,BREAKER-Eaton-BJ2200,,,,,,,,,
EATON 175a/2p Main BJ2175,Eaton,BJ2175,175,4,2,Busbar Only,BREAKER-Eaton-BJ2175,,,,,,,,,
EATON 150a/2p Main BJ2150,Eaton,BJ2150,150,4,2,Busbar Only,BREAKER-Eaton-BJ2150,,,,,,,,,
EATON 30a/30a duplex 1 space breaker,Eaton,BR3030,"30, 30",1,"1, 1",Duplex,BREAKER-Eaton-BR3030,,,,,,,,,
EATON 20a/20a duplex 1 space breaker,Eaton,BR2020,"20, 20",1,"1, 1",Duplex,BREAKER-Eaton-BR2020,,,,,,,,,
EATON 15a/15a duplex 1 space breaker,Eaton,BR1515,"15, 15",1,"1, 1",Duplex,BREAKER-Eaton-BR1515,,,,,,,,,
EATON 15a/20a duplex 1 space breaker,Eaton,BR1520,"15, 20",1,"1, 1",Duplex,BREAKER-Eaton-BR1520,,,,,,,,,
"EATON 20a/1p 1 space breaker, GFCI, Plug-on Neutral",Eaton,BRP120GF,20,1,1,GFCI,BREAKER-Eaton-BRP120GF,,,,,,,,,
"EATON 20a/1p 1 space breaker, GFCI, Pigtail Neutral",Eaton,BRN120GF,20,1,1,GFCI,BREAKER-Eaton-BRN120GF,,,,,,,,,
"EATON 15a/1p 1 space breaker, GFCI, Plug-on Neutral",Eaton,BRP115GF,15,1,1,GFCI,BREAKER-Eaton-BRP115GF,,,,,,,,,
"EATON 15a/1p 1 space breaker, GFCI, Pigtail Neutral",Eaton,BRN115GF,15,1,1,GFCI,BREAKER-Eaton-BRN115GF,,,,,,,,,
"EATON 200a/2p Main BW2200, 10 kAIC",Eaton,BW2200,200,4,2,Main Breaker Kit,BREAKER-Eaton-BW2200,,,,,,,,,
"EATON 175a/2p Main BW2175, 10 kAIC",Eaton,BW2175,175,4,2,Main Breaker Kit,BREAKER-Eaton-BW2175,,,,,,,,,
"EATON 150a/2p Main BW2150, 10 kAIC",Eaton,BW2150,150,4,2,Main Breaker Kit,BREAKER-Eaton-BW2150,,,,,,,,,
"EATON 150a/2p Main BW2125, 10 kAIC",Eaton,BW2125,125,4,2,Main Breaker Kit,BREAKER-Eaton-BW2125,,,,,,,,,
"EATON 150a/2p Main BW2100, 10 kAIC",Eaton,BW2100,100,4,2,Main Breaker Kit,BREAKER-Eaton-BW2100,,,,,,,,,
"EATON 150a/2p Main BWH2200, 25 kAIC",Eaton,BWH2200,200,4,2,Main Breaker Kit,BREAKER-Eaton-BWH2200,,,,,,,,,
"EATON 150a/2p Main BWH2175, 25 kAIC",Eaton,BWH2175,175,4,2,Main Breaker Kit,BREAKER-Eaton-BWH2175,,,,,,,,,
"EATON 150a/2p Main BWH2150, 25 kAIC",Eaton,BWH2150,150,4,2,Main Breaker Kit,BREAKER-Eaton-BWH2150,,,,,,,,,
"EATON 150a/2p Main BWH2125, 25 kAIC",Eaton,BWH2125,125,4,2,Main Breaker Kit,BREAKER-Eaton-BWH2125,,,,,,,,,
"EATON 150a/2p Main BWH2100, 25 kAIC",Eaton,BWH2100,125,4,2,Main Breaker Kit,BREAKER-Eaton-BWH2100,,,,,,,,,
"EATON 200a/2p Main CSR2200, 10 kAIC",Eaton,CSR2200,200,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2200,,,,,,,,,
"EATON 175a/2p Main CSR2175, 10 kAIC",Eaton,CSR2175,175,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2175,,,,,,,,,
"EATON 150a/2p Main CSR2150, 10 kAIC",Eaton,CSR2150,150,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2150,,,,,,,,,
"EATON 150a/2p Main CSR2125, 10 kAIC",Eaton,CSR2125,125,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2125,,,,,,,,,
"EATON 150a/2p Main CSR2100, 10 kAIC",Eaton,CSR2100,100,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2100,,,,,,,,,
"EATON 200a/2p Main CSR2200N, 25 kAIC",Eaton,CSR2200N,200,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2200N,,,,,,,,,
"EATON 175a/2p Main CSR2175N, 25 kAIC",Eaton,CSR2175N,175,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2175N,,,,,,,,,
"EATON 150a/2p Main CSR2150N, 25 kAIC",Eaton,CSR2150N,150,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2150N,,,,,,,,,
"EATON 150a/2p Main CSR2125N, 25 kAIC",Eaton,CSR2125N,125,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2125N,,,,,,,,,
"EATON 150a/2p Main CSR2100N, 25 kAIC",Eaton,CSR2100N,100,4,2,Main Breaker Kit,BREAKER-Eaton-CSR2100N,,,,,,,,,
EATON 200A Tenant Main Breaker,Eaton,CCV2200,200,4,2,Main Breaker Replacement,BREAKER-Eaton-CCV2200,,,,,,,,,
EATON 175A Tenant Main Breaker,Eaton,CCV2175,175,4,2,Main Breaker Replacement,BREAKER-Eaton-CCV2175,,,,,,,,,
EATON 150A Tenant Main Breaker,Eaton,CCV2150,150,4,2,Main Breaker Replacement,BREAKER-Eaton-CCV2150,,,,,,,,,
"EATON 20A/20A Quad 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC220220,"20, 20",2,"2, 2",Quad,BREAKER-Eaton-BQC220220,,,,,,,,,
"EATON 20A/30A Quad 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC220230,"20, 30",2,"2, 2",Quad,BREAKER-Eaton-BQC220230,,,,,,,,,
"EATON 20A/40A Quad 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC220240,"20, 40",2,"2, 2",Quad,BREAKER-Eaton-BQC220240,,,,,,,,,
"EATON 20A/50A Quad 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC220250,"20, 50",2,"2, 2",Quad,BREAKER-Eaton-BQC220250,,,,,,,,,
"EATON 30A/30A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BQC230230,"30, 30",2,"2, 2",Quad,BREAKER-Eaton-BQC230230,,,,,,,,,
"EATON 30A/40A Quad 2 space breaker, Non-CTL, Common Trip",Eaton,BQC230240,"30, 40",2,"2, 2",Quad,BREAKER-Eaton-BQC230240,,,,,,,,,
"EATON 30A/40A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ230240,"30, 40",2,"2, 2",Quad,BREAKER-Eaton-BQ230240,,,,,,,,,
"EATON 40A/40A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ240240,"40, 40",2,"2, 2",Quad,BREAKER-Eaton-BQ240240,,,,,,,,,
"EATON 50A/30A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ250230,"50, 30",2,"2, 2",Quad,BREAKER-Eaton-BQ250230,,,,,,,,,
"EATON 20A/40A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ220240,"20, 40",2,"2, 2",Quad,BREAKER-Eaton-BQ220240,,,,,,,,,
"EATON 20A/20A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ220220,"20, 20",2,"2, 2",Quad,BREAKER-Eaton-BQ220220,,,,,,,,,
"EATON 20A/30A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ220230,"20, 30",2,"2, 2",Quad,BREAKER-Eaton-BQ220230,,,,,,,,,
"EATON 20A/50A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ220250,"20, 50",2,"2, 2",Quad,BREAKER-Eaton-BQ220250,,,,,,,,,
"EATON 30A/30A Quad 2 space breaker, Rejection Tab Feature",Eaton,BQ230230,"30, 30",2,"2, 2",Quad,BREAKER-Eaton-BQ230230,,,,,,,,,
