Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
GE 50A/2p 1 space breaker,GE,THQP250,50,2,1,,BREAKER-GE-THQP250,,,,,,,,,
GE 45a/2p 1 space breaker,GE,THQP245,45,2,1,,BREAKER-GE-THQP245,,,,,,,,,
GE 40A/2p 1 space breaker,GE,THQP240,40,2,1,,BREAKER-GE-THQP240,,,,,,,,,
GE 35A/2p 1 space breaker,GE,THQP235,35,2,1,,BREAKER-GE-THQP235,,,,,,,,,
GE 30A/2p 1 space breaker,GE,THQP230,30,2,1,,BREAKER-GE-THQP230,,,,,,,,,
GE 25A/2p 1 space breaker,GE,THQP225,25,2,1,,BREAKER-GE-THQP225,,,,,,,,,
GE 20A/2p 1 space breaker,GE,THQP220,20,2,1,,BREAKER-GE-THQP220,,,,,,,,,
GE 15A/2p 1 space breaker,GE,THQP215,15,2,1,,BREAKER-GE-THQP215,,,,,,,,,
GE 15a/1p 1 space breaker,GE,THQL1115,15,1,1,,BREAKER-GE-THQL1115,,,,,,,,,
GE 20a/1p 1 space breaker,GE,THQL1120,20,1,1,,BREAKER-GE-THQL1120,,,,,,,,,
GE 20a/1p 1/2 space breaker,GE,THQP120,20,1,2-Jan,,BREAKER-GE-THQP120,,,,,,,,,
GE 15a/1p 1/2 space breaker,GE,THQP115,15,1,2-Jan,,BREAKER-GE-THQP115,,,,,,,,,
LEVITON 60a/2p 2 space INDOOR breaker,Leviton,LB260-T,60,2,2,Indoor,BREAKER-Leviton-LB260-T,,,,,,,,,
LEVITON 50a/2p 2 space INDOOR breaker,Leviton,LB250-T,50,2,2,Indoor,BREAKER-Leviton-LB250-T,,,,,,,,,
LEVITON 45a/2p 2 space INDOOR breaker,Leviton,LB245-T,45,2,2,Indoor,BREAKER-Leviton-LB245-T,,,,,,,,,
LEVITON 40a/2p 2 space INDOOR breaker,Leviton,LB240-T,40,2,2,Indoor,BREAKER-Leviton-LB240-T,,,,,,,,,
LEVITON 35a/2p 2 space INDOOR breaker,Leviton,LB235-T,35,2,2,Indoor,BREAKER-Leviton-LB235-T,,,,,,,,,
LEVITON 30a/2p 2 space INDOOR breaker,Leviton,LB230-T,30,2,2,Indoor,BREAKER-Leviton-LB230-T,,,,,,,,,
LEVITON 25a/2p 2 space INDOOR breaker,Leviton,LB225-T,25,2,2,Indoor,BREAKER-Leviton-LB225-T,,,,,,,,,
LEVITON 20a/2p 2 space INDOOR breaker,Leviton,LB220-T,20,2,2,Indoor,BREAKER-Leviton-LB220-T,,,,,,,,,
LEVITON 15a/2p 2 space INDOOR breaker,Leviton,LB215-T,15,2,2,Indoor,BREAKER-Leviton-LB215-T,,,,,,,,,
LEVITON 30a/1p 1 space INDOOR breaker,Leviton,LB130-T,30,1,1,Indoor,BREAKER-Leviton-LB130-T,,,,,,,,,
LEVITON 25a/1p 1 space INDOOR breaker,Leviton,LB125-T,25,1,1,Indoor,BREAKER-Leviton-LB125-T,,,,,,,,,
LEVITON 20a/1p 1 space INDOOR breaker,Leviton,LB120-T,20,1,1,Indoor,BREAKER-Leviton-LB120-T,,,,,,,,,
LEVITON 15a/1p 1 space INDOOR breaker,Leviton,LB115-T,15,1,1,Indoor,BREAKER-Leviton-LB115-T,,,,,,,,,
LEVITON 225a/2p Main Breaker,Leviton,LM225-T,225,4,2,Main Breaker Kit,BREAKER-Leviton-LM225-T,,,,,,,,,
LEVITON 200a/2p Main Breaker,Leviton,LM200-T,200,4,2,Main Breaker Kit,BREAKER-Leviton-LM200-T,,,,,,,,,
LEVITON 150a/2p Main Breaker,Leviton,LM150-T,150,4,2,Main Breaker Kit,BREAKER-Leviton-LM150-T,,,,,,,,,
LEVITON 125a/2p Main Breaker,Leviton,LM125-T,125,4,2,Main Breaker Kit,BREAKER-Leviton-LM125-T,,,,,,,,,
LEVITON 100a/2p Main Breaker,Leviton,LM100-T,100,4,2,Main Breaker Kit,BREAKER-Leviton-LM100-T,,,,,,,,,
LEVITON 125a/2p 2 space OUTDOOR breaker,Leviton,LB212,125,2,2,Outdoor,BREAKER-Leviton-LB212,,,,,,,,,
LEVITON 110a/2p 2 space OUTDOOR breaker,Leviton,LB211,110,2,2,Outdoor,BREAKER-Leviton-LB211,,,,,,,,,
LEVITON 100a/2p 2 space OUTDOOR breaker,Leviton,LB200,100,2,2,Outdoor,BREAKER-Leviton-LB200,,,,,,,,,
LEVITON 90a/2p 2 space OUTDOOR breaker,Leviton,LB290,90,2,2,Outdoor,BREAKER-Leviton-LB290,,,,,,,,,
LEVITON 80a/2p 2 space OUTDOOR breaker,Leviton,LB280,80,2,2,Outdoor,BREAKER-Leviton-LB280,,,,,,,,,
LEVITON 70a/2p 2 space OUTDOOR breaker,Leviton,LB270,70,2,2,Outdoor,BREAKER-Leviton-LB270,,,,,,,,,
LEVITON 60a/2p 2 space OUTDOOR breaker,Leviton,LB260,60,2,2,Outdoor,BREAKER-Leviton-LB260,,,,,,,,,
LEVITON 50a/2p 2 space OUTDOOR breaker,Leviton,LB250,50,2,2,Outdoor,BREAKER-Leviton-LB250,,,,,,,,,
LEVITON 45a/2p 2 space OUTDOOR breaker,Leviton,LB245,45,2,2,Outdoor,BREAKER-Leviton-LB245,,,,,,,,,
LEVITON 40a/2p 2 space OUTDOOR breaker,Leviton,LB240,40,2,2,Outdoor,BREAKER-Leviton-LB240,,,,,,,,,
LEVITON 35a/2p 2 space OUTDOOR breaker,Leviton,LB235,35,2,2,Outdoor,BREAKER-Leviton-LB235,,,,,,,,,
LEVITON 30a/2p 2 space OUTDOOR breaker,Leviton,LB230,30,2,2,Outdoor,BREAKER-Leviton-LB230,,,,,,,,,
LEVITON 25a/2p 2 space OUTDOOR breaker,Leviton,LB225,25,2,2,Outdoor,BREAKER-Leviton-LB225,,,,,,,,,
LEVITON 20a/2p 2 space OUTDOOR breaker,Leviton,LB220,20,2,2,Outdoor,BREAKER-Leviton-LB220,,,,,,,,,
LEVITON 15a/2p 2 space OUTDOOR breaker,Leviton,LB215,15,2,2,Outdoor,BREAKER-Leviton-LB215,,,,,,,,,
LEVITON 30a/1p 1 space OUTDOOR breaker,Leviton,LB130,30,1,1,Outdoor,BREAKER-Leviton-LB130,,,,,,,,,
LEVITON 25a/1p 1 space OUTDOOR breaker,Leviton,LB125,25,1,1,Outdoor,BREAKER-Leviton-LB125,,,,,,,,,
LEVITON 20a/1p 1 space OUTDOOR breaker,Leviton,LB120,20,1,1,Outdoor,BREAKER-Leviton-LB120,,,,,,,,,
LEVITON 15a/1p 1 space OUTDOOR breaker,Leviton,LB115,15,1,1,Outdoor,BREAKER-Leviton-LB115,,,,,,,,,
LEVITON 60a/2p 2 space SMART breaker,Leviton,LB260-S,60,2,2,Smart,BREAKER-Leviton-LB260-S,,,,,,,,,
LEVITON 50a/2p 2 space SMART breaker,Leviton,LB250-S,50,2,2,Smart,BREAKER-Leviton-LB250-S,,,,,,,,,
LEVITON 45a/2p 2 space SMART breaker,Leviton,LB245-S,45,2,2,Smart,BREAKER-Leviton-LB245-S,,,,,,,,,
LEVITON 40a/2p 2 space SMART breaker,Leviton,LB240-S,40,2,2,Smart,BREAKER-Leviton-LB240-S,,,,,,,,,
LEVITON 35a/2p 2 space SMART breaker,Leviton,LB235-S,35,2,2,Smart,BREAKER-Leviton-LB235-S,,,,,,,,,
LEVITON 30a/2p 2 space SMART breaker,Leviton,LB230-S,30,2,2,Smart,BREAKER-Leviton-LB230-S,,,,,,,,,
LEVITON 25a/2p 2 space SMART breaker,Leviton,LB225-S,25,2,2,Smart,BREAKER-Leviton-LB225-S,,,,,,,,,
LEVITON 20a/2p 2 space SMART breaker,Leviton,LB220-S,20,2,2,Smart,BREAKER-Leviton-LB220-S,,,,,,,,,
LEVITON 15a/2p 2 space SMART breaker,Leviton,LB215-S,15,2,2,Smart,BREAKER-Leviton-LB215-S,,,,,,,,,
LEVITON 30a/1p 1 space SMART breaker,Leviton,LB130-S,30,1,1,Smart,BREAKER-Leviton-LB130-S,,,,,,,,,
LEVITON 25a/1p 1 space SMART breaker,Leviton,LB125-S,25,1,1,Smart,BREAKER-Leviton-LB125-S,,,,,,,,,
LEVITON 20a/1p 1 space SMART breaker,Leviton,LB120-S,20,1,1,Smart,BREAKER-Leviton-LB120-S,,,,,,,,,
LEVITON 15a/1p 1 space SMART breaker,Leviton,LB115-S,15,1,1,Smart,BREAKER-Leviton-LB115-S,,,,,,,,,
"Milbank 200A/2P Plug-In Breaker, 10 kAIC",Milbank,UQFP-200,200,4,2,,BREAKER-Milbank-UQFP-200,,,,,,,,,
"Milbank 175A/2P Plug-In Breaker, 10 kAIC",Milbank,UQFP-175,175,4,2,,BREAKER-Milbank-UQFP-175,,,,,,,,,
"Milbank 150A/2P Plug-In Breaker, 10 kAIC",Milbank,UQFP-150,150,4,2,,BREAKER-Milbank-UQFP-150,,,,,,,,,
"Milbank 125A/2P Plug-In Breaker, 10 kAIC",Milbank,UQFP-125,125,4,2,,BREAKER-Milbank-UQFP-125,,,,,,,,,
"Milbank 100A/2P Plug-In Breaker, 10 kAIC",Milbank,UQFP-100,100,4,2,,BREAKER-Milbank-UQFP-100,,,,,,,,,
"Milbank 200A/2P Plug-In Breaker, 22 kAIC",Milbank,UQFPH-200,200,4,2,,BREAKER-Milbank-UQFPH-200,,,,,,,,,
"Milbank 175A/2P Plug-In Breaker, 22 kAIC",Milbank,UQFPH-175,175,4,2,,BREAKER-Milbank-UQFPH-175,,,,,,,,,
"Milbank 150A/2P Plug-In Breaker, 22 kAIC",Milbank,UQFPH-150,150,4,2,,BREAKER-Milbank-UQFPH-150,,,,,,,,,
"Milbank 125A/2P Plug-In Breaker, 22 kAIC",Milbank,UQFPH-125,125,4,2,,BREAKER-Milbank-UQFPH-125,,,,,,,,,
"Milbank 100A/2P Plug-In Breaker, 22 kAIC",Milbank,UQFPH-100,100,4,2,,BREAKER-Milbank-UQFPH-100,,,,,,,,,
"SIEMENS 200A/2p 4 space Breaker, Reverse Handle",Siemens,QN2200RH,200,4,2,Bus Bar Only,BREAKER-Siemens-QN2200RH,,,,,,,,,
"SIEMENS 175A/2p 4 space Breaker, Reverse Handle",Siemens,QN2175RH,175,4,2,Bus Bar Only,BREAKER-Siemens-QN2175RH,,,,,,,,,
"SIEMENS 150A/2p 4 space Breaker, Reverse Handle",Siemens,QN2150RH,150,4,2,Bus Bar Only,BREAKER-Siemens-QN2150RH,,,,,,,,,
"SIEMENS 200A/2p 4 space breaker, QN Type",Siemens,QN2200R,200,4,2,Bus Bar Only,BREAKER-Siemens-QN2200R,,,,,,,,,
"SIEMENS 175A/2p 4 space breaker, QN Type",Siemens,QN2175R,175,4,2,Bus Bar Only,BREAKER-Siemens-QN2175R,,,,,,,,,
"SIEMENS 150A/2p 4 space breaker, QN Type",Siemens,QN2150R,150,4,2,Bus Bar Only,BREAKER-Siemens-QN2150R,,,,,,,,,
SIEMENS 200A/2p 4 space breaker,Siemens,Q2200B,200,4,2,Bus Bar Only,BREAKER-Siemens-Q2200B,,,,,,,,,
SIEMENS 175A/2p 4 space breaker,Siemens,Q2175B,175,4,2,Bus Bar Only,BREAKER-Siemens-Q2175B,,,,,,,,,
SIEMENS 150A/2p 4 space breaker,Siemens,Q2150B,150,4,2,Bus Bar Only,BREAKER-Siemens-Q2150B,,,,,,,,,
SIEMENS 20a/20a duplex 1 space breaker,Siemens,Q2020,"20, 20",1,"1, 1",Duplex,BREAKER-Siemens-Q2020,,,,,,,,,
SIEMENS 15a/15a duplex 1 space breaker,Siemens,Q1515,"15, 15",1,"1, 1",Duplex,BREAKER-Siemens-Q1515,,,,,,,,,
SIEMENS 15a/20a duplex 1 space breaker,Siemens,Q1520,"15, 20",1,"1, 1",Duplex,BREAKER-Siemens-Q1520,,,,,,,,,
SIEMENS 15/15AFC duplex 1 space breaker,Siemens,Q1515AFC,"15, 15",1,"1, 1","Duplex, AFCI",BREAKER-Siemens-Q1515AFC,,,,,,,,,
SIEMENS 20/20AFC duplex 1 space breaker,Siemens,Q2020AFC,"20, 20",1,"1, 1","Duplex, AFCI",BREAKER-Siemens-Q2020AFC,,,,,,,,,
SIEMENS 200A/2p Main MBK200A,Siemens,MBK200A,200,4,2,Main Breaker Kit,BREAKER-Siemens-MBK200A,,,,,,,,,
SIEMENS 175A/2p Main MBK175A,Siemens,MBK175A,175,4,2,Main Breaker Kit,BREAKER-Siemens-MBK175A,,,,,,,,,
SIEMENS 150A/2p Main MBK150A,Siemens,MBK150A,150,4,2,Main Breaker Kit,BREAKER-Siemens-MBK150A,,,,,,,,,
SIEMENS 200A/2p Main MBK200,Siemens,MBK200,200,4,2,Main Breaker Replacement,BREAKER-Siemens-MBK200,,,,,,,,,
SIEMENS 175A/2p Main MBK175,Siemens,MBK175,175,4,2,Main Breaker Replacement,BREAKER-Siemens-MBK175,,,,,,,,,
SIEMENS 150A/2p Main MBK150,Siemens,MBK150,150,4,2,Main Breaker Replacement,BREAKER-Siemens-MBK150,,,,,,,,,
SIEMENS 15A/15A Quad 2 space breaker,Siemens,Q21515CT2,"15, 15",2,"2, 2",Quad,BREAKER-Siemens-Q21515CT2,,,,,,,,,
SIEMENS 15A/30A Quad 2 space breaker,Siemens,Q21530CT2,"15, 30",2,"2, 2",Quad,BREAKER-Siemens-Q21530CT2,,,,,,,,,
SIEMENS 15A/40A Quad 2 space breaker,Siemens,Q21540CT2,"15, 40",2,"2, 2",Quad,BREAKER-Siemens-Q21540CT2,,,,,,,,,
SIEMENS 30A/25A Quad 2 space breaker,Siemens,Q23025CT2,"30, 25",2,"2, 2",Quad,BREAKER-Siemens-Q23025CT2,,,,,,,,,
SIEMENS 20A/50A Quad 2 space breaker,Siemens,Q22050CT2,"20, 50",2,"2, 2",Quad,BREAKER-Siemens-Q22050CT2,,,,,,,,,
SIEMENS 30A/20A Quad 2 space breaker,Siemens,Q23020CT2,"30, 20",2,"2, 2",Quad,BREAKER-Siemens-Q23020CT2,,,,,,,,,
SIEMENS 20A/20A Quad 2 space breaker,Siemens,Q22020CT2,"20, 20",2,"2, 2",Quad,BREAKER-Siemens-Q22020CT2,,,,,,,,,
SIEMENS 30A/15A Quad 2 space breaker,Siemens,Q21530CT2,"30, 15",2,"2, 2",Quad,BREAKER-Siemens-Q21530CT2,,,,,,,,,
SIEMENS 40A/20A Quad 2 space breaker,Siemens,Q22040CT2,"40, 20",2,"2, 2",Quad,BREAKER-Siemens-Q22040CT2,,,,,,,,,
SIEMENS 40A/30A Quad 2 space breaker,Siemens,Q24030CT2,"40, 30",2,"2, 2",Quad,BREAKER-Siemens-Q24030CT2,,,,,,,,,
SIEMENS 40A/40A Quad 2 space breaker,Siemens,Q24040CT2,"40, 40",2,"2, 2",Quad,BREAKER-Siemens-Q24040CT2,,,,,,,,,
SIEMENS 30A/30A Quad 2 space breaker,Siemens,Q23030CT2,"30, 30",2,"2, 2",Quad,BREAKER-Siemens-Q23030CT2,,,,,,,,,
SIEMENS 50A/30A Quad 2 space breaker,Siemens,Q23050CT2,"50, 30",2,"2, 2",Quad,BREAKER-Siemens-Q23050CT2,,,,,,,,,
SIEMENS 15A/15A/15A Triplex 2 space breaker,Siemens,Q21515CT,"15, 15, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21515CT,,,,,,,,,
SIEMENS 20A/35A/20A Triplex 2 space breaker,Siemens,Q22035CT,"20, 35, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22035CT,,,,,,,,,
SIEMENS 15A/35A/15A Triplex 2 space breaker,Siemens,Q21535CT,"15, 35, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21535CT,,,,,,,,,
SIEMENS 15A/45A/15A Triplex 2 space breaker,Siemens,Q21545CT,"15, 45, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21545CT,,,,,,,,,
SIEMENS 20A/50A/20A Triplex 2 space breaker,Siemens,Q22050CT,"20, 50, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22050CT,,,,,,,,,
SIEMENS 20A/30A/20A Triplex 2 space breaker,Siemens,Q22030CT,"20, 30, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22030CT,,,,,,,,,
SIEMENS 15A/20A/15A Triplex 2 space breaker,Siemens,Q21520CT,"15, 20, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21520CT,,,,,,,,,
SIEMENS 20A/20A/20A Triplex 2 space breaker,Siemens,Q22020CT,"20, 20, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22020CT,,,,,,,,,
SIEMENS 15A/30A/15A Triplex 2 space breaker,Siemens,Q21530CT,"15, 30, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21530CT,,,,,,,,,
SIEMENS 20A/40A/20A Triplex 2 space breaker,Siemens,Q22040CT,"20, 40, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22040CT,,,,,,,,,
SIEMENS 15A/40A/15A Triplex 2 space breaker,Siemens,Q21540CT,"15, 40, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21540CT,,,,,,,,,
SIEMENS 15A/50A/15A Triplex 2 space breaker,Siemens,Q21550CT,"15, 50, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21550CT,,,,,,,,,
SIEMENS 15A/25A/15A Triplex 2 space breaker,Siemens,Q21525CT,"15, 25, 15",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q21525CT,,,,,,,,,
SIEMENS 20A/25A/20A Triplex 2 space breaker,Siemens,Q22025CT,"20, 25, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22025CT,,,,,,,,,
SIEMENS 20A/45A/20A Triplex 2 space breaker,Siemens,Q22045CT,"20, 45, 20",2,"1, 2, 1",Triplex,BREAKER-Siemens-Q22045CT,,,,,,,,,
SIEMENS 125a/2p 2 space breaker,Siemens,Q2125,125,2,2,,BREAKER-Siemens-Q2125,,,,,,,,,
SIEMENS 100a/2p 2 space breaker,Siemens,Q2100,100,2,2,,BREAKER-Siemens-Q2100,,,,,,,,,
SIEMENS 90a/2p 2 space breaker,Siemens,Q290,90,2,2,,BREAKER-Siemens-Q290,,,,,,,,,
SIEMENS 80a/2p 2 space breaker,Siemens,Q280,80,2,2,,BREAKER-Siemens-Q280,,,,,,,,,
SIEMENS 70a/2p 2 space breaker,Siemens,Q270,70,2,2,,BREAKER-Siemens-Q270,,,,,,,,,
SIEMENS 60a/2p 2 space breaker,Siemens,Q260,60,2,2,,BREAKER-Siemens-Q260,,,,,,,,,
SIEMENS 50a/2p 2 space breaker,Siemens,Q250,50,2,2,,BREAKER-Siemens-Q250,,,,,,,,,
SIEMENS 45a/2p 2 space breaker,Siemens,Q245,45,2,2,,BREAKER-Siemens-Q245,,,,,,,,,
SIEMENS 40a/2p 2 space breaker,Siemens,Q240,40,2,2,,BREAKER-Siemens-Q240,,,,,,,,,
SIEMENS 35a/2p 2 space breaker,Siemens,Q235,35,2,2,,BREAKER-Siemens-Q235,,,,,,,,,
SIEMENS 30a/2p 2 space breaker,Siemens,Q230,30,2,2,,BREAKER-Siemens-Q230,,,,,,,,,
SIEMENS 25a/2p 2 space breaker,Siemens,Q225,25,2,2,,BREAKER-Siemens-Q225,,,,,,,,,
SIEMENS 20a/2p 2 space breaker,Siemens,Q220,20,2,2,,BREAKER-Siemens-Q220,,,,,,,,,
SIEMENS 15a/1p 1 space breaker,Siemens,Q115,15,1,1,,BREAKER-Siemens-Q115,,,,,,,,,
SIEMENS 20a/1p 1 space breaker,Siemens,Q120,20,1,1,,BREAKER-Siemens-Q120,,,,,,,,,
"SQUARE D HOM 20a/1p 1 space AFCI breaker, Plug-On Neutral",Square D HOM,HOM120PCAFI,20,1,1,AFCI,BREAKER-Square D HOM-HOM120PCAFI,,,,,,,,,
"SQUARE D HOM 20a/1p 1 space AFCI breaker, Pigtail Neutral",Square D HOM,HOM120CAFI,20,1,1,AFCI,BREAKER-Square D HOM-HOM120CAFI,,,,,,,,,
"SQUARE D HOM 15a/1p 1 space AFCI breaker, Pigtail Neutral",Square D HOM,HOM115CAFI,15,1,1,AFCI,BREAKER-Square D HOM-HOM115CAFI,,,,,,,,,
"SQUARE D HOM 15a/1p 1 space AFCI breaker, Plug-On Neutral",Square D HOM,HOM115PCAFI,15,1,1,AFCI,BREAKER-Square D HOM-HOM115PCAFI,,,,,,,,,
"SQUARE D HOM 20a/1p 1 space AFCI/GFCI Dual Function breaker, Pigtail Neutral",Square D HOM,HOM120DF,20,1,1,AFCI/GFCI,BREAKER-Square D HOM-HOM120DF,,,,,,,,,
"SQUARE D HOM 15a/1p 1 space AFCI/GFCI Dual Function breaker, Pigtail Neutral",Square D HOM,HOM115DF,15,1,1,AFCI/GFCI,BREAKER-Square D HOM-HOM115DF,,,,,,,,,
"SQUARE D HOM 20a/1p 1 space AFCI/GFCI Dual Function breaker, Plug-On Neutral",Square D HOM,HOM120PDF,20,1,1,AFCI/GFCI,BREAKER-Square D HOM-HOM120PDF,,,,,,,,,
"SQUARE D HOM 15a/1p 1 space AFCI/GFCI Dual Function breaker, Plug-On Neutral",Square D HOM,HOM115PDF,15,1,1,AFCI/GFCI,BREAKER-Square D HOM-HOM115PDF,,,,,,,,,
"SQUARE D HOM 200a/2p 4 space breaker, Bus Bar Only",Square D HOM,HOM2200BB,200,4,2,Busbar Only,BREAKER-Square D HOM-HOM2200BB,,,,,,,,,
"SQUARE D HOM 175a/2p 4 space breaker, Bus Bar Only",Square D HOM,HOM2175BB,175,4,2,Busbar Only,BREAKER-Square D HOM-HOM2175BB,,,,,,,,,
"SQUARE D HOM 150a/2p 4 space breaker, Bus Bar Only",Square D HOM,HOM2150BB,150,4,2,Busbar Only,BREAKER-Square D HOM-HOM2150BB,,,,,,,,,
SQUARE D HOM 30a/20a duplex 1 space breaker,Square D HOM,HOMT3020,"30, 20",1,"1, 1",Duplex,BREAKER-Square D HOM-HOMT3020,,,,,,,,,
SQUARE D HOM 30a/15a duplex 1 space breaker,Square D HOM,HOMT3015,"30, 15",1,"1, 1",Duplex,BREAKER-Square D HOM-HOMT3015,,,,,,,,,
SQUARE D HOM 20a/20a duplex 1 space breaker,Square D HOM,HOMT2020,"20, 20",1,"1, 1",Duplex,BREAKER-Square D HOM-HOMT2020,,,,,,,,,
SQUARE D HOM 15a/20a duplex 1 space breaker,Square D HOM,HOMT1520,"15, 20",1,"1, 1",Duplex,BREAKER-Square D HOM-HOMT1520,,,,,,,,,
SQUARE D HOM 15a/15a duplex 1 space breaker,Square D HOM,HOMT1515,"15, 15",1,"1, 1",Duplex,BREAKER-Square D HOM-HOMT1515,,,,,,,,,
SQUARE D HOM 50a/2p 2 space GFCI breaker,Square D HOM,HOM250GFI,50,2,2,GFCI,BREAKER-Square D HOM-HOM250GFI,,,,,,,,,
SQUARE D HOM 20a/1p 1 space GFCI breaker,Square D HOM,HOM120GFI,20,1,1,GFCI,BREAKER-Square D HOM-HOM120GFI,,,,,,,,,
"SQUARE D HOM 20a/1p 1 space GFCI breaker, Plug-On Neutral",Square D HOM,HOM120PGFI,20,1,1,GFCI,BREAKER-Square D HOM-HOM120PGFI,,,,,,,,,
"SQUARE D HOM 15a/1p 1 space GFCI breaker, Pigtail Neutral",Square D HOM,HOM115GFI,15,1,1,GFCI,BREAKER-Square D HOM-HOM115GFI,,,,,,,,,
"SQUARE D HOM 15a/1p 1 space GFCI breaker, Plug-On Neutral",Square D HOM,HOM115PGFI,15,1,1,GFCI,BREAKER-Square D HOM-HOM115PGFI,,,,,,,,,
"SQUARE D HOM 200a/2p, Main Breaker Replacement",Square D HOM,HOM2200,200,4,2,Main Breaker Replacement,BREAKER-Square D HOM-HOM2200,,,,,,,,,
"SQUARE D HOM 200a/2p, Main Breaker Replacement",Square D HOM,HOM2175,175,4,2,Main Breaker Replacement,BREAKER-Square D HOM-HOM2175,,,,,,,,,
"SQUARE D HOM 150a/2p, Main Breaker Replacement",Square D HOM,HOM2150,150,4,2,Main Breaker Replacement,BREAKER-Square D HOM-HOM2150,,,,,,,,,
SQUARE D HOM 15A/15A Quad 2 Space Breaker,Square D HOM,HOMT215215,"15, 15",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT215215,,,,,,,,,
SQUARE D HOM 15A/20A Quad 2 Space Breaker,Square D HOM,HOMT215220,"15, 20",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT215220,,,,,,,,,
SQUARE D HOM 15A/25A Quad 2 Space Breaker,Square D HOM,HOMT215225,"15, 25",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT215225,,,,,,,,,
SQUARE D HOM 15A/30A Quad 2 Space Breaker,Square D HOM,HOMT215230,"15, 30",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT215230,,,,,,,,,
SQUARE D HOM 15A/40A Quad 2 Space Breaker,Square D HOM,HOMT215240,"15, 40",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT215240,,,,,,,,,
SQUARE D HOM 15A/50A Quad 2 Space Breaker,Square D HOM,HOMT215250,"15, 50",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT215250,,,,,,,,,
SQUARE D HOM 20A/20A Quad 2 Space Breaker,Square D HOM,HOMT220220,"20, 20",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT220220,,,,,,,,,
SQUARE D HOM 20A/25A Quad 2 Space Breaker,Square D HOM,HOMT220225,"20, 25",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT220225,,,,,,,,,
SQUARE D HOM 20A/30A Quad 2 Space Breaker,Square D HOM,HOMT220230,"20, 30",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT220230,,,,,,,,,
SQUARE D HOM 20A/40A Quad 2 Space Breaker,Square D HOM,HOMT220240,"20, 40",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT220240,,,,,,,,,
SQUARE D HOM 20A/50A Quad 2 Space Breaker,Square D HOM,HOMT220250,"20, 50",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT220250,,,,,,,,,
SQUARE D HOM 25A/25A Quad 2 Space Breaker,Square D HOM,HOMT225225,"25, 25",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT225225,,,,,,,,,
SQUARE D HOM 25A/30A Quad 2 Space Breaker,Square D HOM,HOMT225230,"25, 30",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT225230,,,,,,,,,
SQUARE D HOM 25A/40A Quad 2 Space Breaker,Square D HOM,HOMT225240,"25, 40",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT225240,,,,,,,,,
SQUARE D HOM 25A/50A Quad 2 Space Breaker,Square D HOM,HOMT225250,"25, 50",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT225250,,,,,,,,,
SQUARE D HOM 30A/30A Quad 2 Space Breaker,Square D HOM,HOMT230230,"30, 30",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT230230,,,,,,,,,
SQUARE D HOM 30A/40A Quad 2 Space Breaker,Square D HOM,HOMT230240,"30, 40",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT230240,,,,,,,,,
SQUARE D HOM 30A/50A Quad 2 Space Breaker,Square D HOM,HOMT230250,"30, 50",2,"2, 2",Quad,BREAKER-Square D HOM-HOMT230250,,,,,,,,,
SQUARE D HOM 20A/50A/20A Triplex 2 space breaker,Square D HOM,HOMT2020250,"20, 50, 20",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT2020250,,,,,,,,,
SQUARE D HOM 20A/30A/20A Triplex 2 space breaker,Square D HOM,HOMT2020230,"20, 30, 20",2,"1, 2, 1",Triplex,BREAKER-Square D HOM-HOMT2020230,,,,,,,,,
