Description,Conduit Type,Conduit Material,Conduit Size,Conduit Category,Conduit Designation,
2 in IMC Pull Elbow,Pull Elbow,IMC,2,Conduit Body,2-IMC-Pull-Elbow,
2 in PVC Pull Elbow,Pull Elbow,PVC,2,Conduit Body,2-PVC-Pull-Elbow,
2 in PVC Type C,Type C,PVC,2,Conduit Body,2-PVC-Type-C,
2 in PVC Type LB,Type LB,PVC,2,Conduit Body,2-PVC-Type-LB,
2 in PVC Type LL,Type LL,PVC,2,Conduit Body,2-PVC-Type-LL,
2 in PVC Type LR,Type LR,PVC,2,Conduit Body,2-PVC-Type-LR,
2 in PVC Type T,Type T,PVC,2,Conduit Body,2-PVC-Type-T,
2 in PVC Universal,Universal,PVC,2,Conduit Body,2-PVC-Universal,
2 in RMC Pull Elbow,Pull Elbow,RMC,2,Conduit Body,2-RMC-Pull-Elbow,
3/4 in EMT Pull Elbow,Pull Elbow,EMT,4-Mar,Conduit Body,3/4-EMT-Pull-Elbow,
3/4 in IMC Pull Elbow,Pull Elbow,IMC,4-Mar,Conduit Body,3/4-IMC-Pull-Elbow,
3/4 in PVC Pull Elbow,Pull Elbow,PVC,4-Mar,Conduit Body,3/4-PVC-Pull-Elbow,
3/4 in PVC Type C,Type C,PVC,4-Mar,Conduit Body,3/4-PVC-Type-C,
3/4 in PVC Type LB,Type LB,PVC,4-Mar,Conduit Body,3/4-PVC-Type-LB,
3/4 in PVC Type LL,Type LL,PVC,4-Mar,Conduit Body,3/4-PVC-Type-LL,
3/4 in PVC Type LR,Type LR,PVC,4-Mar,Conduit Body,3/4-PVC-Type-LR,
3/4 in PVC Type T,Type T,PVC,4-Mar,Conduit Body,3/4-PVC-Type-T,
3/4 in PVC Universal,Universal,PVC,4-Mar,Conduit Body,3/4-PVC-Universal,
3/4 in RMC Pull Elbow,Pull Elbow,RMC,4-Mar,Conduit Body,3/4-RMC-Pull-Elbow,
3 in EMT Pull Elbow,Pull Elbow,EMT,3,Conduit Body,3-EMT-Pull-Elbow,
3 in IMC Pull Elbow,Pull Elbow,IMC,3,Conduit Body,3-IMC-Pull-Elbow,
3 in PVC Pull Elbow,Pull Elbow,PVC,3,Conduit Body,3-PVC-Pull-Elbow,
3 in PVC Type C,Type C,PVC,3,Conduit Body,3-PVC-Type-C,
3 in PVC Type LB,Type LB,PVC,3,Conduit Body,3-PVC-Type-LB,
3 in PVC Type LL,Type LL,PVC,3,Conduit Body,3-PVC-Type-LL,
3 in PVC Type LR,Type LR,PVC,3,Conduit Body,3-PVC-Type-LR,
3 in PVC Type T,Type T,PVC,3,Conduit Body,3-PVC-Type-T,
3 in PVC Universal,Universal,PVC,3,Conduit Body,3-PVC-Universal,
3 in RMC Pull Elbow,Pull Elbow,RMC,3,Conduit Body,3-RMC-Pull-Elbow,
1/2 in EMT Compression Connector,Compression Connector,EMT,2-Jan,Conduit Fitting,1/2-EMT-Compression-Connector,
1/2 in EMT Compression Coupling,Compression Coupling,EMT,2-Jan,Conduit Fitting,1/2-EMT-Compression-Coupling,
1/2 in EMT Elbow 45,Elbow 45,EMT,2-Jan,Conduit Fitting,1/2-EMT-Elbow-45,
1/2 in EMT Expansion Coupling,Expansion Coupling,EMT,2-Jan,Conduit Fitting,1/2-EMT-Expansion-Coupling,
1/2 in EMT Set Screw Connector,Set Screw Connector,EMT,2-Jan,Conduit Fitting,1/2-EMT-Set-Screw-Connector,
1/2 in EMT Threaded Coupling,Threaded Coupling,EMT,2-Jan,Conduit Fitting,1/2-EMT-Threaded-Coupling,
1/2 in PVC Cap,Cap,PVC,2-Jan,Conduit Fitting,1/2-PVC-Cap,
1/2 in PVC Coupling,Coupling,PVC,2-Jan,Conduit Fitting,1/2-PVC-Coupling,
1/2 in PVC Elbow 22-1/2,Elbow 22-1/2,PVC,2-Jan,Conduit Fitting,1/2-PVC-Elbow-22-1/2,
1/2 in PVC Elbow 30,Elbow 30,PVC,2-Jan,Conduit Fitting,1/2-PVC-Elbow-30,
1/2 in PVC Elbow 45,Elbow 45,PVC,2-Jan,Conduit Fitting,1/2-PVC-Elbow-45,
1/2 in PVC Elbow 90,Elbow 90,PVC,2-Jan,Conduit Fitting,1/2-PVC-Elbow-90,
1/2 in PVC Expansion Coupling,Expansion Coupling,PVC,2-Jan,Conduit Fitting,1/2-PVC-Expansion-Coupling,
1/2 in PVC Female Adapter,Female Adapter,PVC,2-Jan,Conduit Fitting,1/2-PVC-Female-Adapter,
1/2 in PVC Insulating Bushing,Insulating Bushing,PVC,2-Jan,Conduit Fitting,1/2-PVC-Insulating-Bushing,
1/2 in PVC Terminal Adapter,Terminal Adapter,PVC,2-Jan,Conduit Fitting,1/2-PVC-Terminal-Adapter,
1/2 in PVC Threaded Coupling,Threaded Coupling,PVC,2-Jan,Conduit Fitting,1/2-PVC-Threaded-Coupling,
1/2 in PVC Weatherhead,Weatherhead,PVC,2-Jan,Conduit Fitting,1/2-PVC-Weatherhead,
1/2 in RMC Chase Nipple,Chase Nipple,RMC,2-Jan,Conduit Fitting,1/2-RMC-Chase-Nipple,
1/2 in RMC Compression Connector,Compression Connector,RMC,2-Jan,Conduit Fitting,1/2-RMC-Compression-Connector,
1/2 in RMC Compression Coupling,Compression Coupling,RMC,2-Jan,Conduit Fitting,1/2-RMC-Compression-Coupling,
1/2 in RMC Elbow 45,Elbow 45,RMC,2-Jan,Conduit Fitting,1/2-RMC-Elbow-45,
1/2 in RMC Elbow 90,Elbow 90,RMC,2-Jan,Conduit Fitting,1/2-RMC-Elbow-90,
1/2 in RMC Expansion Coupling,Expansion Coupling,RMC,2-Jan,Conduit Fitting,1/2-RMC-Expansion-Coupling,
1/2 in RMC Locknut,Locknut,RMC,2-Jan,Conduit Fitting,1/2-RMC-Locknut,
1/2 in RMC Raintight Locknut,Raintight Locknut,RMC,2-Jan,Conduit Fitting,1/2-RMC-Raintight-Locknut,
1/2 in RMC Set Screw Connector,Set Screw Connector,RMC,2-Jan,Conduit Fitting,1/2-RMC-Set-Screw-Connector,
1/2 in RMC Straight Nipple,Straight Nipple,RMC,2-Jan,Conduit Fitting,1/2-RMC-Straight-Nipple,
1/2 in RMC Threaded Coupling,Threaded Coupling,RMC,2-Jan,Conduit Fitting,1/2-RMC-Threaded-Coupling,
1/2 in RMC Weatherhead,Weatherhead,RMC,2-Jan,Conduit Fitting,1/2-RMC-Weatherhead,
1/2 in Steel Reducing Washer,Reducing Washer,Steel,2-Jan,Conduit Fitting,1/2-Steel-Reducing-Washer,
1/2 in Steel Sealing Ring,Sealing Ring,Steel,2-Jan,Conduit Fitting,1/2-Steel-Sealing-Ring,
1-1/2 in EMT Compression Connector,Compression Connector,EMT,1/1/2002,Conduit Fitting,1-1/2-EMT-Compression-Connector,
1-1/2 in EMT Compression Coupling,Compression Coupling,EMT,1/1/2002,Conduit Fitting,1-1/2-EMT-Compression-Coupling,
1-1/2 in EMT Elbow 45,Elbow 45,EMT,1/1/2002,Conduit Fitting,1-1/2-EMT-Elbow-45,
1-1/2 in EMT Elbow 90,Elbow 90,EMT,1/1/2002,Conduit Fitting,1-1/2-EMT-Elbow-90,
1-1/2 in EMT Set Screw Connector,Set Screw Connector,EMT,1/1/2002,Conduit Fitting,1-1/2-EMT-Set-Screw-Connector,
1-1/2 in EMT Threaded Coupling,Threaded Coupling,EMT,1/1/2002,Conduit Fitting,1-1/2-EMT-Threaded-Coupling,
1-1/2 in PVC Cap,Cap,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Cap,
1-1/2 in PVC Coupling,Coupling,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Coupling,
1-1/2 in PVC Elbow 22-1/2,Elbow 22-1/2,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Elbow-22-1/2,
1-1/2 in PVC Elbow 30,Elbow 30,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Elbow-30,
1-1/2 in PVC Elbow 45,Elbow 45,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Elbow-45,
1-1/2 in PVC Elbow 90,Elbow 90,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Elbow-90,
1-1/2 in PVC End Bell,End Bell,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-End-Bell,
1-1/2 in PVC Expansion Coupling,Expansion Coupling,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Expansion-Coupling,
1-1/2 in PVC Female Adapter,Female Adapter,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Female-Adapter,
1-1/2 in PVC Insulating Bushing,Insulating Bushing,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Insulating-Bushing,
1-1/2 in PVC Terminal Adapter,Terminal Adapter,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Terminal-Adapter,
1-1/2 in PVC Threaded Coupling,Threaded Coupling,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Threaded-Coupling,
1-1/2 in PVC Weatherhead,Weatherhead,PVC,1/1/2002,Conduit Fitting,1-1/2-PVC-Weatherhead,
1-1/2 in RMC Chase Nipple,Chase Nipple,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Chase-Nipple,
1-1/2 in RMC Compression Connector,Compression Connector,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Compression-Connector,
1-1/2 in RMC Compression Coupling,Compression Coupling,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Compression-Coupling,
1-1/2 in RMC Elbow 45,Elbow 45,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Elbow-45,
1-1/2 in RMC Elbow 90,Elbow 90,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Elbow-90,
1-1/2 in RMC Expansion Coupling,Expansion Coupling,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Expansion-Coupling,
1-1/2 in RMC Locknut,Locknut,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Locknut,
1-1/2 in RMC Raintight Locknut,Raintight Locknut,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Raintight-Locknut,
1-1/2 in RMC Set Screw Connector,Set Screw Connector,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Set-Screw-Connector,
1-1/2 in RMC Straight Nipple,Straight Nipple,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Straight-Nipple,
1-1/2 in RMC Threaded Coupling,Threaded Coupling,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Threaded-Coupling,
1-1/2 in RMC Weatherhead,Weatherhead,RMC,1/1/2002,Conduit Fitting,1-1/2-RMC-Weatherhead,
1-1/2 in Steel Reducing Washer,Reducing Washer,Steel,1/1/2002,Conduit Fitting,1-1/2-Steel-Reducing-Washer,
1-1/2 in Steel Sealing Ring,Sealing Ring,Steel,1/1/2002,Conduit Fitting,1-1/2-Steel-Sealing-Ring,
1-1/4 in EMT Compression Connector,Compression Connector,EMT,1/1/2004,Conduit Fitting,1-1/4-EMT-Compression-Connector,
1-1/4 in EMT Compression Coupling,Compression Coupling,EMT,1/1/2004,Conduit Fitting,1-1/4-EMT-Compression-Coupling,
1-1/4 in EMT Elbow 45,Elbow 45,EMT,1/1/2004,Conduit Fitting,1-1/4-EMT-Elbow-45,
1-1/4 in EMT Elbow 90,Elbow 90,EMT,1/1/2004,Conduit Fitting,1-1/4-EMT-Elbow-90,
1-1/4 in EMT Set Screw Connector,Set Screw Connector,EMT,1/1/2004,Conduit Fitting,1-1/4-EMT-Set-Screw-Connector,
1-1/4 in EMT Threaded Coupling,Threaded Coupling,EMT,1/1/2004,Conduit Fitting,1-1/4-EMT-Threaded-Coupling,
1-1/4 in PVC Cap,Cap,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Cap,
1-1/4 in PVC Coupling,Coupling,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Coupling,
1-1/4 in PVC Elbow 22-1/2,Elbow 22-1/2,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Elbow-22-1/2,
1-1/4 in PVC Elbow 30,Elbow 30,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Elbow-30,
1-1/4 in PVC Elbow 45,Elbow 45,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Elbow-45,
1-1/4 in PVC Elbow 90,Elbow 90,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Elbow-90,
1-1/4 in PVC End Bell,End Bell,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-End-Bell,
1-1/4 in PVC Expansion Coupling,Expansion Coupling,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Expansion-Coupling,
1-1/4 in PVC Female Adapter,Female Adapter,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Female-Adapter,
1-1/4 in PVC Insulating Bushing,Insulating Bushing,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Insulating-Bushing,
1-1/4 in PVC Terminal Adapter,Terminal Adapter,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Terminal-Adapter,
1-1/4 in PVC Threaded Coupling,Threaded Coupling,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Threaded-Coupling,
1-1/4 in PVC Weatherhead,Weatherhead,PVC,1/1/2004,Conduit Fitting,1-1/4-PVC-Weatherhead,
