Description,Conductor,Wire Gauge,Sequence,Wire Type,Wire Color,Wire Stranding,Conductor Quantity,BRSID
"2 AWG Aluminum THHN/THWN-2, White",Aluminum,2,2,"THHN, THWN-2",White,Stranded,1,WIRE-Aluminum-2-THHN-THWN-2-White-Stranded
"1 AWG Aluminum THHN/THWN-2, Black",Aluminum,1,1,"THHN, THWN-2",Black,Stranded,1,WIRE-Aluminum-1-THHN-THWN-2-Black-Stranded
"1 AWG Aluminum THHN/THWN-2, Red",Aluminum,1,1,"THHN, THWN-2",Red,Stranded,1,WIRE-Aluminum-1-THHN-THWN-2-Red-Stranded
"1 AWG Aluminum THHN/THWN-2, White",Aluminum,1,1,"THHN, THWN-2",White,Stranded,1,WIRE-Aluminum-1-THHN-THWN-2-White-Stranded
"1/0 AWG Aluminum THHN/THWN-2, Black",Aluminum,Jan-00,Jan-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Aluminum-1/0-THHN-THWN-2-Black-Stranded
"1/0 AWG Aluminum THHN/THWN-2, Red",Aluminum,Jan-00,Jan-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Aluminum-1/0-THHN-THWN-2-Red-Stranded
"1/0 AWG Aluminum THHN/THWN-2, White",Aluminum,Jan-00,Jan-00,"THHN, THWN-2",White,Stranded,1,WIRE-Aluminum-1/0-THHN-THWN-2-White-Stranded
"2/0 AWG Aluminum THHN/THWN-2, Black",Aluminum,Feb-00,Feb-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Aluminum-2/0-THHN-THWN-2-Black-Stranded
"2/0 AWG Aluminum THHN/THWN-2, Red",Aluminum,Feb-00,Feb-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Aluminum-2/0-THHN-THWN-2-Red-Stranded
"2/0 AWG Aluminum THHN/THWN-2, White",Aluminum,Feb-00,Feb-00,"THHN, THWN-2",White,Stranded,1,WIRE-Aluminum-2/0-THHN-THWN-2-White-Stranded
"3/0 AWG Aluminum THHN/THWN-2, Black",Aluminum,Mar-00,Mar-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Aluminum-3/0-THHN-THWN-2-Black-Stranded
"3/0 AWG Aluminum THHN/THWN-2, Red",Aluminum,Mar-00,Mar-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Aluminum-3/0-THHN-THWN-2-Red-Stranded
"3/0 AWG Aluminum THHN/THWN-2, White",Aluminum,Mar-00,Mar-00,"THHN, THWN-2",White,Stranded,1,WIRE-Aluminum-3/0-THHN-THWN-2-White-Stranded
"4/0 AWG Aluminum THHN/THWN-2, Black",Aluminum,Apr-00,Apr-00,"THHN, THWN-2",Black,Stranded,1,WIRE-Aluminum-4/0-THHN-THWN-2-Black-Stranded
"4/0 AWG Aluminum THHN/THWN-2, Red",Aluminum,Apr-00,Apr-00,"THHN, THWN-2",Red,Stranded,1,WIRE-Aluminum-4/0-THHN-THWN-2-Red-Stranded
"4/0 AWG Aluminum THHN/THWN-2, White",Aluminum,Apr-00,Apr-00,"THHN, THWN-2",White,Stranded,1,WIRE-Aluminum-4/0-THHN-THWN-2-White-Stranded
"250 kcmil Aluminum THHN/THWN-2, Black",Aluminum,250,250,"THHN, THWN-2",Black,Stranded,1,WIRE-Aluminum-250-THHN-THWN-2-Black-Stranded
"250 kcmil Aluminum THHN/THWN-2, Red",Aluminum,250,250,"THHN, THWN-2",Red,Stranded,1,WIRE-Aluminum-250-THHN-THWN-2-Red-Stranded
"6 AWG Aluminum USE-2, Black",Aluminum,6,6,USE-2,Black,Stranded,1,WIRE-Aluminum-6-USE-2-Black-Stranded
"4 AWG Aluminum USE-2, Black",Aluminum,7,7,USE-2,Black,Stranded,1,WIRE-Aluminum-7-USE-2-Black-Stranded
"3 AWG Aluminum USE-2, Black",Aluminum,8,8,USE-2,Black,Stranded,1,WIRE-Aluminum-8-USE-2-Black-Stranded
"2 AWG Aluminum USE-2, Black",Aluminum,9,9,USE-2,Black,Stranded,1,WIRE-Aluminum-9-USE-2-Black-Stranded
"1 AWG Aluminum USE-2, Black",Aluminum,10,10,USE-2,Black,Stranded,1,WIRE-Aluminum-10-USE-2-Black-Stranded
"1/0 AWG Aluminum USE-2, Black",Aluminum,Jan-00,Jan-00,USE-2,Black,Stranded,1,WIRE-Aluminum-1/0-USE-2-Black-Stranded
"2/0 AWG Aluminum USE-2, Black",Aluminum,Feb-00,Feb-00,USE-2,Black,Stranded,1,WIRE-Aluminum-2/0-USE-2-Black-Stranded
"3/0 AWG Aluminum USE-2, Black",Aluminum,Mar-00,Mar-00,USE-2,Black,Stranded,1,WIRE-Aluminum-3/0-USE-2-Black-Stranded
"4/0 AWG Aluminum USE-2, Black",Aluminum,Apr-00,Apr-00,USE-2,Black,Stranded,1,WIRE-Aluminum-4/0-USE-2-Black-Stranded
"250 kcmil Aluminum USE-2, Black",Aluminum,250,250,USE-2,Black,Stranded,1,WIRE-Aluminum-250-USE-2-Black-Stranded
"6 AWG Aluminum XHHW-2, Black",Aluminum,6,6,XHHW-2,Black,Stranded,1,WIRE-Aluminum-6-XHHW-2-Black-Stranded
"6 AWG Aluminum XHHW-2, Red",Aluminum,6,6,XHHW-2,Red,Stranded,1,WIRE-Aluminum-6-XHHW-2-Red-Stranded
"6 AWG Aluminum XHHW-2, White",Aluminum,6,6,XHHW-2,White,Stranded,1,WIRE-Aluminum-6-XHHW-2-White-Stranded
"6 AWG Aluminum XHHW-2, Green",Aluminum,6,6,XHHW-2,Green,Stranded,1,WIRE-Aluminum-6-XHHW-2-Green-Stranded
2-2-2 Aluminum SEU Cable,Aluminum,2,2-2-2-4,SEU,Gray,Stranded,3,WIRE-Aluminum-2-2-2-4-SEU-Gray-Stranded
1/0-1/0-1/0 Aluminum SEU Cable,Aluminum,Jan-00,1/0-1/0-1/0,SEU,Gray,Stranded,3,WIRE-Aluminum-1/0-1/0-1/0-SEU-Gray-Stranded
2/0-2/0-2/0 Aluminum SEU Cable,Aluminum,Feb-00,2/0-2/0-2/0,SEU,Gray,Stranded,3,WIRE-Aluminum-2/0-2/0-2/0-SEU-Gray-Stranded
4/0-4/0-4/0 Aluminum SEU Cable,Aluminum,Apr-00,4/0-4/0-4/0,SEU,Gray,Stranded,3,WIRE-Aluminum-4/0-4/0-4/0-SEU-Gray-Stranded
4-4-4-6 Aluminum SER Cable,Aluminum,4,4-4-4-6,SER,Gray,Stranded,4,WIRE-Aluminum-4-4-4-6-SER-Gray-Stranded
2-2-2-4 Aluminum SER Cable,Aluminum,2,2-2-2-4,SER,Gray,Stranded,4,WIRE-Aluminum-2-2-2-4-SER-Gray-Stranded
1-1-1-3 Aluminum SER Cable,Aluminum,1,1-1-1-3,SER,Gray,Stranded,4,WIRE-Aluminum-1-1-1-3-SER-Gray-Stranded
1/0-1/0-1/0-2 Aluminum SER Cable,Aluminum,Jan-00,1/0-1/0-1/0-2,SER,Gray,Stranded,4,WIRE-Aluminum-1/0-1/0-1/0-2-SER-Gray-Stranded
2/0-2/0-2/0-1 Aluminum SER Cable,Aluminum,Feb-00,2/0-2/0-2/0-1,SER,Gray,Stranded,4,WIRE-Aluminum-2/0-2/0-2/0-1-SER-Gray-Stranded
3/0-3/0-3/0-1/0 Aluminum SER Cable,Aluminum,Mar-00,3/0-3/0-3/0-1/0,SER,Gray,Stranded,4,WIRE-Aluminum-3/0-3/0-3/0-1/0-SER-Gray-Stranded
4/0-4/0-4/0-2/0 Aluminum SER Cable,Aluminum,Apr-00,4/0-4/0-4/0-2/0,SER,Gray,Stranded,4,WIRE-Aluminum-4/0-4/0-4/0-2/0-SER-Gray-Stranded
250-250-250-3/0 Aluminum SER Cable,Aluminum,250,250-250-250-3/0,SER,Gray,Stranded,4,WIRE-Aluminum-250-250-250-3/0-SER-Gray-Stranded
2-2-2 Aluminum URD Cable,Aluminum,2,2-2-2-2,URD,Gray,Stranded,3,WIRE-Aluminum-2-2-2-2-URD-Gray-Stranded
1-1-1 Aluminum URD Cable,Aluminum,1,1-1-1-1,URD,Gray,Stranded,3,WIRE-Aluminum-1-1-1-1-URD-Gray-Stranded
1/0-1/0-1/0 Aluminum URD Cable,Aluminum,Jan-00,1/0-1/0-1/0-1/0,URD,Gray,Stranded,3,WIRE-Aluminum-1/0-1/0-1/0-1/0-URD-Gray-Stranded
2/0-2/0-2/0 Aluminum URD Cable,Aluminum,Feb-00,2/0-2/0-2/0-2/0,URD,Gray,Stranded,3,WIRE-Aluminum-2/0-2/0-2/0-2/0-URD-Gray-Stranded
3/0-3/0-3/0 Aluminum URD Cable,Aluminum,Mar-00,3/0-3/0-3/0-3/0,URD,Gray,Stranded,3,WIRE-Aluminum-3/0-3/0-3/0-3/0-URD-Gray-Stranded
4/0-4/0-4/0 Aluminum URD Cable,Aluminum,Apr-00,4/0-4/0-4/0-4/0,URD,Gray,Stranded,3,WIRE-Aluminum-4/0-4/0-4/0-4/0-URD-Gray-Stranded
250-250-250 Aluminum URD Cable,Aluminum,250,250-250-250-250,URD,Gray,Stranded,3,WIRE-Aluminum-250-250-250-250-URD-Gray-Stranded
2-2-2-4 Aluminum URD Cable,Aluminum,2,2-2-2-4,URD,Gray,Stranded,4,WIRE-Aluminum-2-2-2-4-URD-Gray-Stranded
1-1-1-3 Aluminum URD Cable,Aluminum,1,1-1-1-3,URD,Gray,Stranded,4,WIRE-Aluminum-1-1-1-3-URD-Gray-Stranded
1/0-1/0-1/0-2 Aluminum URD Cable,Aluminum,Jan-00,1/0-1/0-1/0-2,URD,Gray,Stranded,4,WIRE-Aluminum-1/0-1/0-1/0-2-URD-Gray-Stranded
2/0-2/0-2/0-1 Aluminum URD Cable,Aluminum,Feb-00,2/0-2/0-2/0-1,URD,Gray,Stranded,4,WIRE-Aluminum-2/0-2/0-2/0-1-URD-Gray-Stranded
3/0-3/0-3/0-1/0 Aluminum URD Cable,Aluminum,Mar-00,3/0-3/0-3/0-1/0,URD,Gray,Stranded,4,WIRE-Aluminum-3/0-3/0-3/0-1/0-URD-Gray-Stranded
4/0-4/0-4/0-2/0 Aluminum URD Cable,Aluminum,Apr-00,4/0-4/0-4/0-2/0,URD,Gray,Stranded,4,WIRE-Aluminum-4/0-4/0-4/0-2/0-URD-Gray-Stranded
250-250-250-3/0 Aluminum URD Cable,Aluminum,250,250-250-250-3/0,URD,Gray,Stranded,4,WIRE-Aluminum-250-250-250-3/0-URD-Gray-Stranded
6-6-6 Aluminum ACSR Service Drop Cable,Aluminum,6,6/6/2006,ACSR,Black,Stranded,3,WIRE-Aluminum-6-6-6-ACSR-Black-Stranded
6-6-6-6 Aluminum ACSR Service Drop Cable,Aluminum,6,6-6-6-6,ACSR,Black,Stranded,4,WIRE-Aluminum-6-6-6-6-ACSR-Black-Stranded
