Description,Manufacturer,Part Number,Rating,Meter Socket Series,Meter Socket Type,Meter Socket Style,Meter Socket Feed,Meter Socket Positions,Meter Socket Bypass,Meter Socket Jaws,Mount,Meter Socket Features,BRSID
"Milbank Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Triplex Ground, Wide Shell",Milbank,U7043-XL-TG,200,,Meter Socket,Ringless,OH/UG,1,,4,Surface,"Triplex Ground, Wide Shell",METER-SOCKET-Milbank-U7043-XL-TG
"Milbank Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 5 Jaws, Surface Mount, Triplex Ground, 5th Terminal",Milbank,U7043-XL-TG-KK-IL-5T9W,200,,Meter Socket,Ringless,OH/UG,1,Horn,5,Surface,"Triplex Ground, 5th Terminal",METER-SOCKET-Milbank-U7043-XL-TG-KK-IL-5T9W
"Milbank Meter Socket, 100A, Ringless Style, OH/UG, 2-Position, Horn Bypass, 4 Jaws, Surface Mount, Open Hub",Milbank,U7362-RL-KK,100,,Meter Socket,Ringless,OH/UG,2,Horn,4,Surface,Open Hub,METER-SOCKET-Milbank-U7362-RL-KK
"Milbank Meter Socket, 125A, Ringless Style, OH/UG, 1-Position, Horn Bypass, 4 Jaws, Surface Mount, Open Hub, Triplex Ground",Milbank,U7487-RL-TG-KK,125,,Meter Socket,Ringless,OH/UG,1,Horn,4,Surface,"Open Hub, Triplex Ground",METER-SOCKET-Milbank-U7487-RL-TG-KK
"Milbank Meter Socket, 125A, Ring Style, UG ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, Plain Top",Milbank,U7490-O,125,,Meter Socket,Ring,UG,1,,4,Surface,Plain Top,METER-SOCKET-Milbank-U7490-O
"Milbank Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Open Hub",Milbank,U7490-RL,125,,Meter Socket,Ring,OH/UG,1,,4,Surface,Open Hub,METER-SOCKET-Milbank-U7490-RL
"Milbank Meter Socket, 125A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Open Hub, Triplex Ground",Milbank,U7490-RL-TG,125,,Meter Socket,Ring,OH/UG,1,,4,Surface,"Open Hub, Triplex Ground",METER-SOCKET-Milbank-U7490-RL-TG
"Milbank Meter Socket, 125A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Triplex Ground, Steel Hasp",Milbank,U8435-XL-TG-HSP,125,,Meter Socket,Ringless,OH/UG,1,,4,Surface,"Triplex Ground, Steel Hasp",METER-SOCKET-Milbank-U8435-XL-TG-HSP
"Milbank Meter Socket, 200A, Ringless Style, UG ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, Pedestal, CECHA Approved",Milbank,U8436-O-CECHA,200,,Meter Socket,Ringless,UG,1,,4,Surface,"Pedestal, CECHA Approved",METER-SOCKET-Milbank-U8436-O-CECHA
"Milbank Meter Socket, 125A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Open Hub",Milbank,U8750-RL-KK,125,,Meter Socket,Ringless,OH/UG,1,,4,Surface,Open Hub,METER-SOCKET-Milbank-U8750-RL-KK
