Description,Manufacturer,Part Number,Conduit Designation,BRSID,,,,
American Fittings - 1 in RMC Compression Connector-Compression Connector,American Fittings,NT2752RT,1-RMC-Compression-Connector,CONDUIT-American-Fittings-NT2752RT,,,,
American Fittings - 1 in RMC Compression Coupling-Compression Coupling,American Fittings,NT2762,1-RMC-Compression-Coupling,CONDUIT-American-Fittings-NT2762,,,,
American Fittings - 1 in RMC Compression Coupling-Compression Coupling,American Fittings,NT2762RT,1-RMC-Compression-Coupling,CONDUIT-American-Fittings-NT2762RT,,,,
American Fittings - 2 in RMC Compression Connector-Compression Connector,American Fittings,NT2755,2-RMC-Compression-Connector,CONDUIT-American-Fittings-NT2755,,,,
American Fittings - 2 in RMC Compression Coupling-Compression Coupling,American Fittings,NT2755RT,2-RMC-Compression-Coupling,CONDUIT-American-Fittings-NT2755RT,,,,
American Fittings - 2 in RMC Compression Coupling-Compression Coupling,American Fittings,NT2765RT,2-RMC-Compression-Coupling,CONDUIT-American-Fittings-NT2765RT,,,,
American Fittings - 3/4 in EMT Compression Connector-Compression Connector,American Fittings,EC751USRT,3/4-EMT-Compression-Connector,CONDUIT-American-Fittings-EC751USRT,,,,
American Fittings - 3/4 in EMT Compression Coupling-Compression Coupling,American Fittings,EC761US,3/4-EMT-Compression-Coupling,CONDUIT-American-Fittings-EC761US,,,,
American Fittings - 3/4 in RMC Compression Connector-Compression Connector,American Fittings,NT2751,3/4-RMC-Compression-Connector,CONDUIT-American-Fittings-NT2751,,,,
American Fittings - 3/4 in RMC Compression Connector-Compression Connector,American Fittings,NT2751RT,3/4-RMC-Compression-Connector,CONDUIT-American-Fittings-NT2751RT,,,,
American Fittings - 3/4 in RMC Compression Coupling-Compression Coupling,American Fittings,NT2761,3/4-RMC-Compression-Coupling,CONDUIT-American-Fittings-NT2761,,,,
American Fittings - 3/4 in RMC Compression Coupling-Compression Coupling,American Fittings,NT2761RT,3/4-RMC-Compression-Coupling,CONDUIT-American-Fittings-NT2761RT,,,,
American Fittings - 3 in RMC Compression Coupling-Compression Coupling,American Fittings,ERC300CONN,3-RMC-Compression-Coupling,CONDUIT-American-Fittings-ERC300CONN,,,,
American Fittings - 3 in RMC Compression Coupling-Compression Coupling,American Fittings,ERC300CPLG,3-RMC-Compression-Coupling,CONDUIT-American-Fittings-ERC300CPLG,,,,
Anamet Electrical - 1-1/4 in RMC Compression Connector-Compression Connector,Anamet Electrical,7STR125B,1-1/4-RMC-Compression-Connector,CONDUIT-Anamet-Electrical-7STR125B,,,,
Appleton - 1/2 in EMT Compression Connector-Compression Connector,Appleton,7050GSR,1/2-EMT-Compression-Connector,CONDUIT-Appleton-7050GSR,,,,
Appleton - 1/2 in EMT Compression Coupling-Compression Coupling,Appleton,6050GSR,1/2-EMT-Compression-Coupling,CONDUIT-Appleton-6050GSR,,,,
Appleton - 1/2 in EMT Set Screw Connector-Set Screw Connector,Appleton,4050S,1/2-EMT-Set-Screw-Connector,CONDUIT-Appleton-4050S,,,,
Appleton - 1-1/2 in EMT Compression Connector-Compression Connector,Appleton,7150GSR,1-1/2-EMT-Compression-Connector,CONDUIT-Appleton-7150GSR,,,,
Appleton - 1-1/2 in EMT Compression Connector-Compression Connector,Appleton,7150GSRT,1-1/2-EMT-Compression-Connector,CONDUIT-Appleton-7150GSRT,,,,
Appleton - 1-1/2 in RMC Compression Coupling-Compression Coupling,Appleton,NTCC150,1-1/2-RMC-Compression-Coupling,CONDUIT-Appleton-NTCC150,,,,
