Description,Manufacturer,Part Number,Electrical Box Type,Electrical Box Use,BRSID
"Red Dot Weatherproof Outlet Box, 2-Gang, 2-5/8 in Deep, 5-Hole, 3/4 in Outlets",Red Dot,2IH5-2,Outlet Box,Outdoor,ELECTRICAL-BOX-Red Dot-2IH5-2
"Red Dot Weatherproof Outlet Box, 2-Gang, 3-Hole, 3/4 in Outlets",Red Dot,2IH3-2,Outlet Box,Outdoor,ELECTRICAL-BOX-Red Dot-2IH3-2
"Red Dot Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets, Aluminum",Red Dot,2IHD5-2,Outlet Box,Outdoor,ELECTRICAL-BOX-Red Dot-2IHD5-2
"Red Dot Weatherproof Receptacle Cover, 1-Gang",Red Dot,CCGV,Receptacle Cover,Outdoor,ELECTRICAL-BOX-Red Dot-CCGV
"Red Dot Weatherproof Wall Plate, 1-Gang, Blank, Steel",Red Dot,CCB,Wall Plate,Outdoor,ELECTRICAL-BOX-Red Dot-CCB
"Red Dot Weatherproof Wall Plate, 2-Gang, Blank, Steel",Red Dot,2CCB,Wall Plate,Outdoor,ELECTRICAL-BOX-Red Dot-2CCB
"Southwire Weatherproof Extension, 4 in, 2-Gang",Southwire,WB2EXT,Extension Ring,Outdoor,ELECTRICAL-BOX-Southwire-WB2EXT
"Steel City Utility Box, 4 in Square, 2-Gang, Steel",Steel City,52171-1/2-3/4E,Utility Box,Indoor,ELECTRICAL-BOX-Steel City-52171-1/2-3/4E
"Orbit Weatherproof Wall Plate, 1-Gang, Steel",Taymac,BC100S,Wall Plate,Outdoor,ELECTRICAL-BOX-Taymac-BC100S
"Taymac Weatherproof Outlet Box, 1-Gang, 3-Hole, 3/4 in Outlets",Taymac,SB375S,Outlet Box,Outdoor,ELECTRICAL-BOX-Taymac-SB375S
"Taymac Weatherproof Outlet Box, 2-Gang, 3-Hole, 3/4 in Outlets",Taymac,DB375S,Outlet Box,Outdoor,ELECTRICAL-BOX-Taymac-DB375S
"Taymac Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",Taymac,DB575S,Outlet Box,Outdoor,ELECTRICAL-BOX-Taymac-DB575S
"Taymac Weatherproof Wall Plate, 2-Gang, Blank, Steel",Taymac,BC200S,Wall Plate,Outdoor,ELECTRICAL-BOX-Taymac-BC200S
"Topaz Square Cover, 4 in, 2-Gang, Steel, Flat blank",Topaz,C7516,Box Cover,Indoor,ELECTRICAL-BOX-Topaz-C7516
"Topaz Utility Box, 4 in Square, Steel",Topaz,B8452,Utility Box,Indoor,ELECTRICAL-BOX-Topaz-B8452
"Topaz Weatherproof Outlet Box, 2-Gang, 3-Hole, 3/4 in Outlets",Topaz,WB2375,Outlet Box,Outdoor,ELECTRICAL-BOX-Topaz-WB2375
"Topaz Weatherproof Outlet Box, 2-Gang, 5-Hole, 3/4 in Outlets",Topaz,WB2575,Outlet Box,Outdoor,ELECTRICAL-BOX-Topaz-WB2575
"Topaz Weatherproof Receptacle Cover, 2-Gang",Topaz,WC2225,Receptacle Cover,Outdoor,ELECTRICAL-BOX-Topaz-WC2225
"Topaz Weatherproof Wall Plate, 2-Gang, Blank, Aluminum",Topaz,WC2B,Wall Plate,Outdoor,ELECTRICAL-BOX-Topaz-WC2B
