Description,Manufacturer,Part Number,Fuse Ampacity,Fuse Class,Fuse Voltage,Fuse Type,BRSID
"Mersen 25A Fuse, Class R, 250V, Time Delay",Mersen,TR25R,25,R,250,Time Delay,FUSE-Mersen-TR25R
"Mersen 30A Fuse, Class R, 250V, Time Delay",Mersen,TR30R,30,R,250,Time Delay,FUSE-Mersen-TR30R
"Mersen 35A Fuse, Class R, 250V, Time Delay",Mersen,TR35R,35,R,250,Time Delay,FUSE-Mersen-TR35R
"Mersen 40A Fuse, Class R, 250V, Time Delay",Mersen,TR40R,40,R,250,Time Delay,FUSE-Mersen-TR40R
"Mersen 45A Fuse, Class R, 250V, Time Delay",Mersen,TR45R,45,R,250,Time Delay,FUSE-Mersen-TR45R
"Mersen 50A Fuse, Class R, 250V, Time Delay",Mersen,TR50R,50,R,250,Time Delay,FUSE-Mersen-TR50R
"Mersen 60A Fuse, Class R, 250V, Time Delay",Mersen,TR60R,60,R,250,Time Delay,FUSE-Mersen-TR60R
"Mersen 70A Fuse, Class R, 250V, Time Delay",Mersen,TR70R,70,R,250,Time Delay,FUSE-Mersen-TR70R
"Mersen 80A Fuse, Class R, 250V, Time Delay",Mersen,TR80R,80,R,250,Time Delay,FUSE-Mersen-TR80R
"Mersen 90A Fuse, Class R, 250V, Time Delay",Mersen,TR90R,90,R,250,Time Delay,FUSE-Mersen-TR90R
"Mersen 225A Fuse, Class R, 250V, Time Delay",Mersen,TRS225R,225,R,250,Time Delay,FUSE-Mersen-TRS225R
