Description,Manufacturer,Part Number,Connector Type,BRSID
"Eaton 3/4 in Strain Relief Connector, 5 Hole, USE-2 Wire",Eaton,NCGS25,Strain Relief Connector,CONNECTOR-Eaton-NCGS25
"Greaves Black Insulated Multi-Tap Connector, 2-Port, 14 AWG-2/0 AWG",Greaves,USAD 2/0-2,Insulated Multi-Tap Connector,CONNECTOR-Greaves-USAD-2/0-2
Heyco 3/4 in Strain Relief Connector,Heyco,3460,Strain Relief Connector,CONNECTOR-Heyco-3460
"Heyco 1/2 in Liquid Tight Cordgrip, Skinned-Over Break-Thru Solar Masthead Gland ",Heyco,M3200GAH-SM,Strain Relief Connector,CONNECTOR-Heyco-M3200GAH-SM
"Heyco 1/2 in Liquid Tight Cordgrip, Straight-Thru, NPT Hub",Heyco,M3231,Strain Relief Connector,CONNECTOR-Heyco-M3231
"Heyco 1/2 in Liquid Tight Cordgrip for Enphase Q Cable, Oval Gland",Heyco,M3231GCZ,Strain Relief Connector,CONNECTOR-Heyco-M3231GCZ
Heyco 1/2 in Liquid Tight Oval Hole Connector for NM-B,Heyco,M3231GZB,Strain Relief Connector,CONNECTOR-Heyco-M3231GZB
"Heyco 3/4 in Liquid Tight Cordgrip, Straight-Thru, NPT Hub",Heyco,M3234,Strain Relief Connector,CONNECTOR-Heyco-M3234
"Heyco 3/4 in Liquid Tight Cordgrip, Straight-Thru, NPT Hub",Heyco,M3234GA,Strain Relief Connector,CONNECTOR-Heyco-M3234GA
"Heyco 3/4 in Liquid Tight Cordgrip with Integral Sealing Ring, 4 Conductor",Heyco,M3234GAG,Strain Relief Connector,CONNECTOR-Heyco-M3234GAG
"Heyco 3/4 in Solar Masthead II Liquid Tight Cordgrip, 5 Conductor",Heyco,M3234GBR-SM,Strain Relief Connector,CONNECTOR-Heyco-M3234GBR-SM
"Heyco 3/4 in Solar Masthead II Liquid Tight Cordgrip, 3 Conductor",Heyco,M3234GBS-SM,Strain Relief Connector,CONNECTOR-Heyco-M3234GBS-SM
"Heyco 3/4 in Liquid Tight Cordgrip for Enphase Q Cable, Break-Thru Skinned Over Gland",Heyco,M3234GDA-SM,Strain Relief Connector,CONNECTOR-Heyco-M3234GDA-SM
"Heyco 1-1/2 in Solar Masthead II Liquid Tight Cordgrip, 11 Conductor",Heyco,M3317GBZ-SM,Strain Relief Connector,CONNECTOR-Heyco-M3317GBZ-SM
"Heyco 1 in Solar Masthead II Liquid Tight Cordgrip, 9 Conductor",Heyco,M8437GBK-SM,Strain Relief Connector,CONNECTOR-Heyco-M8437GBK-SM
"Heyco 1 in Solar Masthead II Liquid Tight Cordgrip, 5 Conductor",Heyco,M8437GBT-SM,Strain Relief Connector,CONNECTOR-Heyco-M8437GBT-SM
Ideal Industries 1/2 in Non-Metallic Cable Connector,Ideal Industries,46-125,Non-Metallic Cable Connector,CONNECTOR-Ideal-Industries-46-125
Ideal Industries 3/4 in Non-Metallic Cable Connector,Ideal Industries,46-150,Non-Metallic Cable Connector,CONNECTOR-Ideal-Industries-46-150
"Ideal Industries In-Sure Push-In Connectors, 12 AWG, 5-Port",Ideal Industries,30-087J,Push-in Connector,CONNECTOR-Ideal-Industries-30-087J
"Ilsco Insulation Piercing Connector,  Main Conductor Range 4/0-4, Tap Range 6-14",Ilsco,IPC-4/0-6,Insulation Piercing Connector,CONNECTOR-Ilsco-IPC-4/0-6
"Ilsco Insulation Piercing Connector, Main Conductor Range 4/0-2, Tap Range 2/0-6",Ilsco,IPC-4/0-2/0,Insulation Piercing Connector,CONNECTOR-Ilsco-IPC-4/0-2/0
"Ilsco Insulation Piercing Connector, Main Conductor Range 250-1, Tap Range 4/0-6",Ilsco,IPC-250-4/0,Insulation Piercing Connector,CONNECTOR-Ilsco-IPC-250-4/0
"Ilsco Insulation Piercing Connector, Main Conductor Range 350-4/0, Tap Range 4/0-10",Ilsco,IPC-350-4/0,Insulation Piercing Connector,CONNECTOR-Ilsco-IPC-350-4/0
"Ilsco Black Insulated Multi-Tap Connector, 2-Port, Same Side Entry, 14 AWG-4 AWG",Ilsco,PBTS-2-4,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTS-2-4
"Ilsco Black Insulated Multi-Tap Connector, 2-Port, Same Side Entry, 14 AWG-1/0 AWG",Ilsco,PBTS-2-1/0,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTS-2-1/0
"Ilsco Black Insulated Multi-Tap Connector, 2-Port, Same Side Entry, 6 AWG-3/0 AWG",Ilsco,PBTS-2-3/0,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTS-2-3/0
"Ilsco Black Insulated Multi-Tap Connector, 2-Port, Same Side Entry, 6 AWG-250 AWG",Ilsco,PBTS-2-250,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTS-2-250
"Ilsco Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-4 AWG",Ilsco,PBTD-2-4,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTD-2-4
"Ilsco Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 6 AWG-250 AWG",Ilsco,PBTD-2-250,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTD-2-250
"Ilsco Black Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 6 AWG-3/0 AWG",Ilsco,PBTD-3-3/0,Insulated Multi-Tap Connector,CONNECTOR-Ilsco-PBTD-3-3/0
LH Dottie 1/2 in Non-Metallic Cable Connector,LH Dottie,DRC50,Non-Metallic Cable Connector,CONNECTOR-LH-Dottie-DRC50
LH Dottie 3/4 in Non-Metallic Cable Connector,LH Dottie,DRC75,Non-Metallic Cable Connector,CONNECTOR-LH-Dottie-DRC75
Madison 1 in 2-Screw Clamp Connector,Madison,L105,2-Screw Clamp Connector,CONNECTOR-Madison-L105
Morris 1/2 in Non-Metallic Cable Connector,Morris,21764,Non-Metallic Cable Connector,CONNECTOR-Morris-21764
Morris 3/42 in Non-Metallic Cable Connector,Morris,21765,Non-Metallic Cable Connector,CONNECTOR-Morris-21765
Morris 1-1/2 in 2-Screw Clamp Connector,Morris,15334,2-Screw Clamp Connector,CONNECTOR-Morris-15334
Morris 2 in 2-Screw Clamp Connector,Morris,15335,2-Screw Clamp Connector,CONNECTOR-Morris-15335
Morris 15331 2-Screw Clamp Connector,Morris,15331,2-Screw Clamp Connector,CONNECTOR-Morris-15331
"NSI Twist-On Wire Nut, 18-8 AWG, Red, Jar of 100",NSI,WWC-R-SJ,Wire Nut,CONNECTOR-NSI-WWC-R-SJ
Pass & Seymour na Strain Relief Connector,Pass & Seymour,BOX40,Strain Relief Connector,CONNECTOR-Pass-&-Seymour-BOX40
Pass & Seymour 3/4 in Strain Relief Connector,Pass & Seymour,CG757503,Strain Relief Connector,CONNECTOR-Pass-&-Seymour-CG757503
"Penn Union Black Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 10 AWG-350 kcmil",Penn Union,IPBB-NA350-3D,Insulated Multi-Tap Connector,CONNECTOR-Penn-Union-IPBB-NA350-3D
"Penn Union Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-4 AWG",Penn Union,IPBB-NA4-2D,Insulated Multi-Tap Connector,CONNECTOR-Penn-Union-IPBB-NA4-2D
